uB	E	M	M2	C	X
-1	-14999	3.4385e-05	1.0023	0	0
-0.99	-0.910177	-0.00288259	1.03392	0	0
-0.98	46.6885	3.40577e-05	0.954651	0	0
-0.97	202.66	-3.04641e-05	0.993976	0	0
-0.96	-277.011	-0.00024415	0.992997	0	0
-0.95	59.1656	-0.000395166	1.01022	0	0
-0.94	107.217	-0.000143771	0.986899	0	0
-0.93	82.8146	-0.00104297	0.966898	0	0
-0.92	113.661	0.001653	0.974698	0	0
-0.91	111.439	9.09825e-05	0.987156	0	0
-0.9	-168.203	-0.000110924	1.015	0	0
-0.89	-264.903	0.000275344	0.993734	0	0
-0.88	275.319	-0.000393419	1.00096	0	0
-0.87	61.0061	0.000528169	0.973058	0	0
-0.86	203.166	-0.000230537	1.01221	0	0
-0.85	-551.141	0.000332385	1.03297	0	0
-0.84	429.681	-2.03472e-05	0.966798	0	0
-0.83	-152.892	0.00112703	1.02155	0	0
-0.82	59.9689	0.000265449	0.998855	0	0
-0.81	-300.293	0.000110743	1.03167	0	0
-0.8	372.74	-0.000139927	1.04653	0	0
-0.79	-227.591	0.000384711	1.00594	0	0
-0.78	-468.388	-0.000224613	0.939054	0	0
-0.77	423.562	0.00103418	0.971786	0	0
-0.76	-124.707	-0.000706021	1.00626	0	0
-0.75	-300.962	-0.000395503	0.989457	0	0
-0.74	456.703	0.000234579	1.02717	0	0
-0.73	-371.792	0.000175764	0.995626	0	0
-0.72	59.5977	0.000264377	1.011	0	0
-0.71	-59.6609	0.000422416	0.998307	0	0
-0.7	-50.569	-0.00147967	1.03047	0	0
-0.69	-83.9678	4.30452e-05	0.981499	0	0
-0.68	191.139	-0.000914374	0.957262	0	0
-0.67	12.2788	-5.92613e-05	1.01171	0	0
-0.66	11.1906	0.000270621	0.998993	0	0
-0.65	239.386	-0.000156681	1.00942	0	0
-0.64	-216.884	-8.3518e-05	1.00713	0	0
-0.63	-47.6396	-5.06848e-05	1.00181	0	0
-0.62	-107.903	8.50714e-07	0.988127	0	0
-0.61	-418.402	0.000763806	0.972992	0	0
-0.6	-167.952	0.000493205	0.978873	0	0
-0.59	46.5472	0.000108714	1.00823	0	0
-0.58	-96.2446	0.000242882	0.99916	0	0
-0.57	131.566	-6.68877e-05	1.00791	0	0
-0.56	57.0169	-0.000708675	1.05619	0	0
-0.55	121.607	0.000126127	0.973918	0	0
-0.54	-263.18	0.000233894	1.00849	0	0
-0.53	-24.8774	-0.000477913	0.980863	0	0
-0.52	96.3153	-3.46488e-05	1.01694	0	0
-0.51	-82.23	-3.84197e-05	0.920427	0	0
-0.5	364.612	-0.0148119	0.925322	0	0
-0.49	-204.159	-0.000138838	0.99267	0	0
-0.48	96.5073	0.000625882	1.00306	0	0
-0.47	168.688	0.000125798	0.988825	0	0
-0.46	143.872	0.000102872	1.00028	0	0
