uB	E	M	M2	C	X
-0.03	-19428.4	-0.975656	2379.84	0.269677	0.0465117
-0.02	-18904.3	-0.974634	2374.87	0.315364	0.0565831
-0.01	-18899.1	-0.973874	2371.18	0.331211	0.0602852
7.5287e-16	-19040.5	-0.973658	2370.13	0.325477	0.0598649
0.01	-19095.9	-0.97299	2366.88	0.317981	0.0627457
0.02	-19090.5	-0.972237	2363.22	0.307932	0.0623595
0.03	-18762.4	-0.9716	2360.13	0.327574	0.0682139
0.04	-18816.8	-0.970849	2356.49	0.329347	0.0702331
0.05	-19003.7	-0.970133	2353.03	0.353638	0.076801
0.06	-18520.2	-0.969513	2350.04	0.36959	0.0931687
0.07	-18682	-0.968429	2344.79	0.360297	0.0887979
0.08	-18854.6	-0.967527	2340.42	0.364719	0.091519
0.09	-18611	-0.963618	2321.52	0.317419	0.0685511
0.1	-18761.3	-0.965798	2332.1	0.391383	0.114573
0.11	-18610.8	-0.964974	2328.13	0.409016	0.112878
0.12	-19125.6	0.422089	2089.63	17.3949	986.537
0.13	-19525.3	0.97984	2400.28	0.256902	0.0372305
0.14	-19529.4	0.980152	2401.8	0.259235	0.0369936
0.15	-19377.4	0.980584	2403.92	0.238307	0.0331865
0.16	-19886.4	0.981149	2406.69	0.264029	0.035673
0.17	-19779.5	0.981241	2407.14	0.241572	0.0334499
0.18	-19684.5	0.981289	2407.38	0.249556	0.033988
0.19	-19671.7	0.98105	2406.19	0.203212	0.0278421
0.2	-19704.1	0.982022	2410.97	0.2356	0.0319378
0.21	-19936.2	0.982456	2413.1	0.242531	0.0321885
0.22	-20008.4	0.982436	2413	0.224798	0.0291353
0.23	-19849.9	0.983429	2417.88	0.215447	0.0271551
0.24	-19921.7	0.983266	2417.08	0.222103	0.0285318
0.25	-20151.9	0.983522	2418.33	0.220389	0.0276339
0.26	-20179.6	0.983895	2420.17	0.219179	0.0272609
0.27	-20098.9	0.984157	2421.46	0.213618	0.0261189
0.28	-19921.4	0.981921	2410.46	0.210667	0.0240821
0.29	-20141.6	0.98481	2424.67	0.209484	0.0250209
0.3	-20166.6	0.984786	2424.55	0.216447	0.026023
0.31	-20339.4	0.985245	2426.81	0.201614	0.0239506
0.32	-20054.3	0.985508	2428.1	0.197444	0.0229887
0.33	-20270.3	0.98548	2427.97	0.212509	0.0241386
0.34	-20176.3	0.985602	2428.57	0.207542	0.0238861
0.35	-20373	0.986015	2430.6	0.19916	0.0226003
0.36	-20232.9	0.986354	2432.27	0.200369	0.0224659
0.37	-20521.3	0.98632	2432.1	0.179553	0.0209452
0.38	-20392.2	0.986565	2433.31	0.199869	0.0225262
0.39	-20325	0.98699	2435.4	0.176239	0.0192886
0.4	-20670	0.986607	2433.52	0.187747	0.0202432
0.41	-20567.7	0.987166	2436.27	0.178113	0.0190723
0.42	-20643.2	0.987412	2437.49	0.197811	0.0212116
0.43	-20633.7	0.987593	2438.38	0.162619	0.0175463
0.44	-20577.7	0.987942	2440.11	0.191941	0.0206118
0.45	-20822.1	0.988374	2442.23	0.157622	0.0147857
0.46	-20822.9	0.988328	2442.01	0.17048	0.0175281
0.47	-20832.2	0.987943	2440.11	0.19275	0.020495
0.48	-20791.1	0.988604	2443.37	0.162079	0.0163744
0.49	-20672.6	0.988675	2443.73	0.167141	0.0167178
0.5	-20654.4	0.989195	2446.29	0.152731	0.0155222
0.51	-21000.6	0.98887	2444.69	0.155644	0.0158718
0.52	-20908.6	0.989259	2446.61	0.162748	0.0160063
0.53	-20959.7	0.989477	2447.69	0.156814	0.0153718
0.54	-21118.3	0.989667	2448.63	0.145516	0.0142146
0.55	-21024	0.98977	2449.13	0.15488	0.0148915
0.56	-20944.5	0.99012	2450.86	0.135326	0.0127634
0.57	-21026.4	0.989839	2449.48	0.154993	0.0148827
0.58	-20956.6	0.989964	2450.1	0.156295	0.0151368
0.59	-20997.6	0.990408	2452.29	0.154549	0.0141416
0.6	-21129.4	0.990293	2451.72	0.153394	0.0142357
0.61	-21157.4	0.990615	2453.32	0.150487	0.0136908
0.62	-21183.6	0.990751	2453.99	0.146837	0.0133991
0.63	-21084.6	0.990438	2452.45	0.185417	0.0164721
0.64	-21379.3	0.99094	2454.93	0.139247	0.0125883
0.65	-21287	0.991219	2456.31	0.138473	0.0123713
0.66	-21336.7	0.991315	2456.78	0.146478	0.0129739
0.67	-21335.3	0.991126	2455.85	0.144707	0.0128659
0.68	-21363.3	0.991396	2457.18	0.122128	0.0107264
0.69	-21426	0.99158	2458.1	0.135986	0.011856
0.7	-21476	0.991696	2458.67	0.137877	0.0118648
0.71	-21334.1	0.991814	2459.26	0.134354	0.0115678
0.72	-21592.5	0.992285	2461.58	0.0579207	0.00507489
0.73	-21614.3	0.992056	2460.45	0.130151	0.0110118
0.74	-21566.4	0.991969	2460.02	0.124123	0.0106461
0.75	-21486.4	0.992274	2461.54	0.128751	0.0108033
0.76	-21612.2	0.992699	2463.65	0.125938	0.0105677
0.77	-21556.5	0.992014	2460.25	0.128706	0.0101455
0.78	-21744.8	0.992617	2463.24	0.127573	0.0106024
0.79	-21639.8	0.992863	2464.46	0.101772	0.00801105
0.8	-21759.9	0.992763	2463.96	0.124066	0.0100988
0.81	-21807.9	0.992691	2463.6	0.12338	0.0100421
0.82	-21825.6	0.993116	2465.71	0.112356	0.00918989
0.83	-21922.4	0.993104	2465.66	0.116972	0.00942399
0.84	-21719.8	0.993166	2465.96	0.117183	0.00929351
0.85	-21734.7	0.993353	2466.89	0.115754	0.00909516
0.86	-21782.6	0.993271	2466.48	0.115619	0.00899198
0.87	-22003.3	0.993604	2468.14	0.0986329	0.00768976
0.88	-21811.8	0.993577	2468	0.109416	0.00845189
0.89	-22028.6	0.99356	2467.92	0.101424	0.00786588
0.9	-21934.5	0.993653	2468.38	0.111727	0.00859165
0.91	-21951.2	0.993995	2470.08	0.104551	0.00798049
0.92	-21985.1	0.993747	2468.85	0.109696	0.00824256
0.93	-22001.2	0.994001	2470.11	0.102977	0.00777029
0.94	-22058.5	0.993706	2468.64	0.0960051	0.00743122
0.95	-22255.5	0.994064	2470.42	0.11128	0.00833385
0.96	-22254.4	0.99391	2469.66	0.104494	0.00783699
0.97	-22153.4	0.994415	2472.16	0.0798608	0.00594865
0.98	-22285.5	0.994365	2471.92	0.107325	0.00789992
0.99	-22143.8	0.994482	2472.5	0.103175	0.00756808
