uB	E	M	M2	C	X
1	-22430.3	0.994279	2471.49	0.103043	0.00761024
0.99	-22287	0.994416	2472.17	0.103924	0.00757157
0.98	-22262.5	0.994448	2472.33	0.101076	0.00739201
0.97	-22139.2	0.994246	2471.33	0.10522	0.00773236
0.96	-22210.9	0.994295	2471.57	0.100708	0.00741624
0.95	-22199.2	0.994352	2471.85	0.107767	0.00803336
0.94	-22206.3	0.994042	2470.31	0.111272	0.00833852
0.93	-22133.6	0.994052	2470.36	0.111816	0.00845094
0.92	-22083	0.993908	2469.65	0.111659	0.00843271
0.91	-22153.6	0.993856	2469.39	0.11094	0.00851128
0.9	-21885.7	0.993601	2468.12	0.114134	0.00874968
0.89	-21898	0.993699	2468.61	0.108257	0.00831101
0.88	-21834.8	0.993486	2467.55	0.0913602	0.00703213
0.87	-22026.1	0.993501	2467.63	0.116008	0.00906311
0.86	-21979.7	0.993741	2468.82	0.113326	0.00872551
0.85	-21747.9	0.993451	2467.38	0.113338	0.0088522
0.84	-21901.3	0.993305	2466.65	0.10773	0.00843655
0.83	-21790.1	0.993101	2465.64	0.116272	0.00920641
0.82	-21824.2	0.992999	2465.13	0.120217	0.00976683
0.81	-21823.1	0.992981	2465.05	0.125702	0.0100795
0.8	-21793.7	0.99259	2463.11	0.15761	0.0127984
0.79	-21506.1	0.992668	2463.49	0.125209	0.0102476
0.78	-21697.8	0.992721	2463.76	0.129496	0.0105705
0.77	-21687.7	0.991916	2459.76	0.112453	0.00933865
0.76	-21488.3	0.992373	2462.03	0.132881	0.0110416
0.75	-21609.3	0.994703	2473.59	0.0568145	0.00442812
0.74	-21570.4	0.992339	2461.86	0.125592	0.0106632
0.73	-21386.5	0.992077	2460.56	0.122223	0.0102811
0.72	-21564.8	0.991997	2460.17	0.130679	0.0109582
0.71	-21443.4	0.991923	2459.8	0.130407	0.0111263
0.7	-21512.4	0.99172	2458.79	0.117725	0.0101144
0.69	-21355.6	0.991746	2458.92	0.133128	0.0113851
0.68	-21340.6	0.991495	2457.68	0.133679	0.011724
0.67	-21277.5	0.991297	2456.69	0.138344	0.0122734
0.66	-21107.8	0.991228	2456.35	0.135212	0.0120689
