uB	E	M	M2	C	X
7.5287e-16	-1770.83	-0.00729717	6.74294	0.286634	1.98295
0.01	-1765.68	0.028567	8.94043	0.293399	2.07007
0.02	-1765.89	0.0447684	12.364	0.289542	2.20604
0.03	-1785.8	0.0892163	27.7128	0.2852	2.34417
0.04	-1765.87	0.0769384	21.777	0.248211	2.09346
0.05	-1795.93	0.108051	36.0248	0.301211	2.0511
0.06	-1814.19	0.128743	47.9853	0.33372	1.96459
0.07	-1834.36	0.149173	62.3846	0.355543	2.02591
0.08	-1860.14	0.174333	82.9351	0.372718	2.08648
0.09	-1874.51	0.183707	90.7991	0.366678	1.9284
0.1	-1906.27	0.210726	116.508	0.381364	1.64808
0.11	-1937.42	0.226014	133.776	0.404474	1.8209
0.12	-1970	0.248771	160.461	0.423309	1.72283
0.13	-2001.53	0.263659	180.439	0.476848	1.99466
0.14	-2036.18	0.28421	207.651	0.480162	1.71365
0.15	-2073.6	0.301508	232.703	0.484671	1.63066
0.16	-2111.81	0.318583	259.052	0.51601	1.59424
0.17	-2149.32	0.334127	284.311	0.523661	1.56228
0.18	-2197.76	0.349013	309.744	0.486483	1.56566
0.19	-2231.46	0.364598	337.399	0.58548	1.52111
0.2	-2273.32	0.38033	366.361	0.574203	1.41994
0.21	-2313.08	0.393491	391.924	0.632431	1.45102
0.22	-2362.27	0.411038	426.699	0.607522	1.29532
0.23	-2396.54	0.425185	457.267	0.914302	1.59322
0.24	-2446.38	0.435161	478.205	0.694411	1.43767
0.25	-2494.17	0.446861	503.032	0.628148	1.14585
0.26	-2538.29	0.458301	529.316	0.701497	1.26502
0.27	-2590.22	0.472036	560.921	0.710226	1.1628
0.28	-2630.25	0.480867	581.789	0.705173	1.11214
0.29	-2686.57	0.495987	618.818	0.751772	1.1435
0.3	-2734.95	0.507721	647.801	0.719279	1.00503
0.31	-2772.98	0.5135	662.548	0.729063	1.00233
0.32	-2817.56	0.52319	687.741	0.781022	1.02621
0.33	-2860.07	0.532166	711.199	0.75963	0.959311
0.34	-2911.1	0.541331	735.785	0.78614	0.955745
0.35	-2962.07	0.55173	763.936	0.764525	0.876396
0.36	-3021.32	0.563733	797.263	0.74235	0.832455
0.37	-3053.97	0.567807	809.005	0.834597	0.897761
0.38	-3107.16	0.577397	836.247	0.826549	0.833495
0.39	-3148.06	0.584259	856.046	0.810231	0.795159
0.4	-3195.33	0.591915	878.53	0.830878	0.786354
0.41	-3247.08	0.600664	904.468	0.812993	0.742521
0.42	-3296.3	0.608334	927.363	0.737672	0.656337
0.43	-3338.36	0.614186	945.384	0.810669	0.697163
0.44	-3387.52	0.621884	969.055	0.811171	0.661445
0.45	-3425.68	0.627045	985.112	0.799204	0.644373
0.46	-3488.66	0.636424	1014.72	0.825999	0.63922
0.47	-3530.2	0.641791	1031.63	0.782788	0.566376
0.48	-3567.54	0.646554	1047.07	0.825451	0.596311
0.49	-3614.1	0.652537	1066.44	0.820656	0.578855
0.5	-3633.74	0.653915	1070.48	0.73629	0.440655
0.51	-3734.39	0.669002	1120.56	0.738334	0.494331
0.52	-3752.82	0.669773	1123.32	0.84012	0.548119
0.53	-3799.23	0.675425	1142.23	0.821501	0.518568
0.54	-3841.41	0.680119	1158.08	0.820517	0.501888
0.55	-3885.37	0.685197	1175.41	0.832489	0.501364
0.56	-3934.98	0.690884	1194.97	0.837741	0.502108
0.57	-3971.23	0.694161	1206.31	0.851852	0.498887
0.58	-4018.07	0.699567	1225.03	0.836015	0.464402
0.59	-4058.28	0.703359	1238.28	0.815128	0.447843
0.6	-4097.16	0.706786	1250.38	0.835618	0.452895
0.61	-4156.44	0.713435	1273.77	0.736554	0.389579
0.62	-4187.4	0.716359	1284.28	0.798996	0.407248
0.63	-4220.44	0.71872	1292.63	0.767616	0.370349
0.64	-4279.03	0.725309	1316.48	0.801489	0.389541
0.65	-4310.65	0.727857	1325.71	0.806482	0.381448
0.66	-4354.86	0.731661	1339.61	0.823994	0.387485
0.67	-4400.21	0.735979	1355.42	0.828642	0.377575
0.68	-4449.39	0.74045	1371.85	0.787526	0.355266
0.69	-4488.32	0.743901	1384.61	0.785603	0.342411
0.7	-4530.7	0.747542	1398.16	0.777741	0.333437
0.71	-4558.26	0.74886	1403.13	0.819445	0.34528
0.72	-4609.79	0.753912	1422.05	0.80052	0.328165
0.73	-4650.46	0.756925	1433.41	0.791399	0.322593
0.74	-4688.62	0.759764	1444.17	0.80154	0.318793
0.75	-4731.25	0.763232	1457.32	0.772414	0.30477
0.76	-4773.33	0.766461	1469.69	0.795762	0.310317
0.77	-4810.33	0.769045	1479.55	0.763868	0.291406
0.78	-4854.31	0.772677	1493.53	0.760254	0.287028
0.79	-4891.41	0.774997	1502.5	0.772405	0.283385
0.8	-4931.41	0.777846	1513.55	0.775522	0.280259
0.81	-4971.34	0.780742	1524.8	0.759942	0.271203
0.82	-5009.97	0.783335	1534.91	0.750127	0.263488
0.83	-5050.55	0.786031	1545.5	0.773581	0.266425
0.84	-5086.31	0.788139	1553.79	0.766194	0.266072
0.85	-5126.13	0.791011	1565.06	0.732741	0.243935
