uB	E	M	M2	C	X
1	-5673.52	0.821778	1688.96	0.735874	0.199853
0.99	-5661.8	0.82257	1692.21	0.708668	0.195648
0.98	-5623.49	0.820437	1683.44	0.703968	0.195171
0.97	-5600.72	0.820202	1682.5	0.707339	0.200889
0.96	-5545.69	0.815855	1664.75	0.716551	0.209752
0.95	-5512.59	0.814467	1659.04	0.675514	0.194546
0.94	-5477.22	0.812622	1651.61	0.721811	0.217726
0.93	-5435.58	0.810048	1641.18	0.736643	0.219193
0.92	-5398.53	0.807875	1632.34	0.688412	0.206455
0.91	-5361.54	0.805714	1623.68	0.724492	0.221624
0.9	-5315.3	0.80247	1610.68	0.762219	0.236569
0.89	-5281.66	0.800749	1603.85	0.796819	0.256049
0.88	-5242.07	0.798261	1593.83	0.740951	0.234659
0.87	-5208.8	0.79664	1587.38	0.728103	0.237238
0.86	-5171.47	0.794139	1577.45	0.734564	0.242645
0.85	-5129.69	0.791394	1566.61	0.765573	0.25508
0.84	-5094.63	0.789359	1558.58	0.765174	0.257881
0.83	-5049.05	0.785844	1544.76	0.773188	0.266364
0.82	-5012.42	0.783415	1535.27	0.775845	0.276137
0.81	-4973.32	0.7809	1525.4	0.745127	0.26531
0.8	-4930.17	0.777714	1513.03	0.773172	0.278776
0.79	-4889.51	0.775006	1502.51	0.755799	0.275522
0.78	-4853.18	0.772329	1492.18	0.762583	0.285861
0.77	-4809.52	0.768833	1478.69	0.723683	0.277911
0.76	-4774.28	0.766677	1470.46	0.760114	0.292159
0.75	-4734.19	0.763622	1458.83	0.779712	0.308765
0.74	-4691.87	0.760249	1445.99	0.782061	0.312151
0.73	-4650.14	0.756963	1433.6	0.823035	0.334988
0.72	-4625.94	0.755886	1429.25	0.667683	0.253502
0.71	-4564.19	0.749744	1406.42	0.795192	0.337691
0.7	-4525.88	0.746768	1395.28	0.782266	0.337323
0.69	-4475.42	0.742116	1378	0.794365	0.346824
0.68	-4443.48	0.739864	1369.71	0.811585	0.362921
0.67	-4403.14	0.736435	1356.98	0.744132	0.342563
0.66	-4356.08	0.732067	1341.09	0.816262	0.38504
0.65	-4319.21	0.729021	1329.94	0.798699	0.376998
0.64	-4272.66	0.724377	1313.22	0.865465	0.423969
0.63	-4232.6	0.720761	1300.11	0.82545	0.412171
0.62	-4200.23	0.718769	1292.88	0.786375	0.391561
0.61	-4143.93	0.711988	1268.78	0.847735	0.43857
0.6	-4108.55	0.708951	1257.96	0.801692	0.429145
0.59	-4012.94	0.694947	1208.86	0.831311	0.443309
0.58	-4017.33	0.699293	1224.22	0.891826	0.507077
0.57	-3974.61	0.694789	1208.4	0.817634	0.471514
0.56	-3917.87	0.688066	1185.3	0.853929	0.513696
0.55	-3887.9	0.685949	1177.98	0.835343	0.498646
0.54	-3832.31	0.67854	1152.62	0.777649	0.474987
0.53	-3795.7	0.674852	1140.28	0.816389	0.513775
0.52	-3757.32	0.670764	1126.59	0.833654	0.534584
0.51	-3698.21	0.662615	1099.5	0.825292	0.555977
0.5	-3654.84	0.657466	1082.58	0.838286	0.576597
0.49	-3617.47	0.653102	1068.23	0.812926	0.562891
0.48	-3568.57	0.646675	1047.51	0.835423	0.610258
0.47	-3525.77	0.641081	1029.63	0.850871	0.649523
0.46	-3481.62	0.635236	1010.86	0.807202	0.614467
0.45	-3429.4	0.627656	987.053	0.814184	0.651627
0.44	-3389.2	0.622344	970.461	0.856357	0.654395
0.43	-3339.04	0.614448	946.199	0.822528	0.699828
0.42	-3288.26	0.606672	922.603	0.82482	0.742173
0.41	-3245.99	0.59871	898.463	0.713002	0.698989
0.4	-3195.97	0.592886	881.435	0.839915	0.794801
0.39	-3148.46	0.583201	852.821	0.748285	0.753589
0.38	-3086.32	0.57275	822.709	0.770588	0.780978
0.37	-3058.68	0.569404	813.378	0.795324	0.848135
0.36	-3013.57	0.561409	790.747	0.766625	0.839202
0.35	-2963.79	0.552225	765.367	0.787618	0.895916
0.34	-2912.99	0.542212	738.01	0.761837	0.907133
0.33	-2866.93	0.532679	712.38	0.74249	0.903906
0.32	-2821.23	0.523758	689.017	0.749843	0.963026
0.31	-2771.94	0.513204	661.896	0.749932	1.03463
0.3	-2722.92	0.502219	634.09	0.760729	1.05863
0.29	-2682.12	0.494294	614.328	0.721557	1.05328
0.28	-2632.93	0.481977	584.442	0.681354	1.10642
0.27	-2586.07	0.470634	557.494	0.683259	1.12556
0.26	-2561.19	0.464956	544.495	0.653616	1.21068
0.25	-2490.59	0.445356	500.085	0.667998	1.26911
0.24	-2446.92	0.434711	476.321	0.630152	1.16619
