uB	E	M	M2	C	X
1	-7500	1	2500	0	0
0.99	-7475	1	2500	-7.18236e-10	0
0.98	-7450	1	2500	5.96046e-11	0
0.97	-7425	1	2500	-4.32134e-10	0
0.96	-7400	1	2500	2.08616e-10	0
0.95	-7375	1	2500	-4.70877e-10	0
0.94	-7350	1	2500	2.74181e-10	0
0.93	-7325	1	2500	-4.50015e-10	0
0.92	-7300	1	2500	-1.01328e-10	0
0.91	-7275	1	2500	-2.35438e-10	0
0.9	-7250	1	2500	4.23193e-10	0
0.89	-7225	1	2500	-6.25849e-11	0
0.88	-7200	1	2500	3.96371e-10	0
0.87	-7175	1	2500	-3.93391e-10	0
0.86	-7150	1	2500	6.85453e-11	0
0.85	-7125	1	2500	-4.08292e-10	0
0.84	-7100	1	2500	2.29478e-10	0
0.83	-7075	1	2500	7.7486e-11	0
0.82	-7050	1	2500	-6.85453e-11	0
0.81	-7025	1	2500	9.53674e-11	0
0.8	-7000	1	2500	-8.34465e-11	0
0.79	-6975	1	2500	-2.6226e-10	0
0.78	-6950	1	2500	3.93391e-10	0
0.77	-6925	1	2500	-6.85453e-11	0
0.76	-6900	1	2500	3.57628e-10	0
0.75	-6875	1	2500	0	0
0.74	-6850	1	2500	-6.25849e-10	0
0.73	-6825	1	2500	7.45058e-11	0
0.72	-6800	1	2500	-3.51667e-10	0
0.71	-6775	1	2500	2.6226e-10	0
0.7	-6750	1	2500	3.57628e-11	0
0.69	-6725	1	2500	-4.76837e-11	0
0.68	-6700	1	2500	4.47035e-11	0
0.67	-6675	1	2500	-4.47035e-11	0
0.66	-6650	1	2500	-2.77162e-10	0
0.65	-6625	1	2500	3.27826e-10	0
0.64	-6600	1	2500	-7.7486e-11	0
0.63	-6575	1	2500	3.06964e-10	0
0.62	-6550	1	2500	-3.12924e-10	0
0.61	-6525	1	2500	1.01328e-10	0
0.6	-6500	1	2500	-3.06964e-10	0
0.59	-6475	1	2500	5.96046e-12	0
0.58	-6450	1	2500	2.38419e-11	0
0.57	-6425	1	2500	3.15905e-10	0
0.56	-6400	1	2500	2.98023e-11	0
0.55	-6375	1	2500	-1.49012e-11	0
0.54	-6350	1	2500	-2.77162e-10	0
0.53	-6325	1	2500	3.03984e-10	0
0.52	-6300	1	2500	-1.01328e-10	0
0.51	-6275	1	2500	3.33786e-10	0
0.5	-6250	1	2500	0	0
0.49	-6225	1	2500	-3.33786e-10	0
0.48	-6195.37	0.999584	2497.92	0.0144106	0.00072925
0.47	-6175	1	2500	-2.5332e-10	0
0.46	-6150	1	2500	1.57952e-10	0
0.45	-6125	1	2500	-1.46031e-10	0
0.44	-6099.31	0.999938	2499.69	0.00227096	0.000115197
0.43	-6069.77	0.999528	2497.64	0.0184587	0.000940576
0.42	-6050	1	2500	1.43051e-10	0
0.41	-6021.94	0.999722	2498.61	0.0102965	0.000529437
0.4	-5996.17	0.99964	2498.2	0.0123134	0.000701177
0.39	-5969.71	0.999518	2497.59	0.0280324	0.00145456
0.38	-5945.47	0.999578	2497.89	0.0124586	0.000697731
0.37	-5925	1	2500	-4.11272e-10	0
0.36	-5896.52	0.999681	2498.4	0.0111288	0.00058543
0.35	-5870.04	0.999534	2497.67	0.0184107	0.00102164
0.34	-5843.86	0.999417	2497.09	0.0191024	0.00109828
0.33	-5820.86	0.999604	2498.02	0.0123197	0.000751846
0.32	-5795.58	0.999591	2497.95	0.0139975	0.0007522
0.31	-5773.75	0.999884	2499.42	0.0039138	0.00021069
0.3	-5744.94	0.999529	2497.65	0.0170614	0.000922735
0.29	-5722.43	0.999758	2498.79	0.00635076	0.000360577
0.28	-5698.32	0.999841	2499.21	0.00736833	0.000415759
0.27	-5668.37	0.999369	2496.85	0.0307873	0.00177542
0.26	-5647.63	0.999778	2498.89	0.00709008	0.00039069
0.25	-5620.19	0.999547	2497.74	0.012868	0.000712414
0.24	-5596.43	0.999648	2498.24	0.0118878	0.00075391
0.23	-5569.84	0.999502	2497.51	0.0174707	0.00104778
0.22	-5544.31	0.999457	2497.29	0.0172302	0.000984342
0.21	-5519.64	0.999485	2497.43	0.0156473	0.000914535
0.2	-5494.35	0.999451	2497.26	0.0146676	0.000880214
0.19	-5471.25	0.99964	2498.2	0.0134745	0.000781961
0.18	-5443.82	0.999402	2497.01	0.0211605	0.00124179
0.17	-5425	1	2500	-6.4075e-11	0
0.16	-5395.06	0.999519	2497.6	0.0149062	0.000901399
0.15	-5369.9	0.99949	2497.45	0.0216624	0.00148855
0.14	-5341.28	0.999148	2495.74	0.0306668	0.00183629
0.13	-5319.6	0.999458	2497.29	0.0153973	0.00102848
0.12	-5293.7	0.999375	2496.88	0.0179949	0.00112523
0.11	-5266.57	0.999179	2495.9	0.0112577	0.000666449
0.1	-5244.87	0.999487	2497.43	0.0154008	0.00102066
0.09	-5220.02	0.999503	2497.52	0.0163218	0.00105873
0.08	-5193.75	0.999381	2496.91	0.0213592	0.00132015
0.07	-5171.08	0.999615	2498.07	0.00661725	0.000399474
0.06	-5143.03	0.999302	2496.51	0.0223081	0.00144895
0.05	-5121.47	0.999651	2498.26	0.00863784	0.000526616
0.04	-5100	1	2500	3.72529e-11	0
