uB	E	M	M2	C	X
-1	-7500	-1	2500	0	0
-0.99	-7475	-1	2500	-7.18236e-10	0
-0.98	-7450	-1	2500	5.36442e-11	0
-0.97	-7425	-1	2500	-6.52671e-10	0
-0.96	-7400	-1	2500	2.05636e-10	0
-0.95	-7375	-1	2500	-5.0962e-10	0
-0.94	-7350	-1	2500	-1.04308e-10	0
-0.93	-7325	-1	2500	-4.35114e-10	0
-0.92	-7300	-1	2500	-9.83477e-11	0
-0.91	-7275	-1	2500	-2.02656e-10	0
-0.9	-7250	-1	2500	4.97699e-10	0
-0.89	-7225	-1	2500	3.57628e-11	0
-0.88	-7200	-1	2500	6.4373e-10	0
-0.87	-7175	-1	2500	-6.3777e-10	0
-0.86	-7150	-1	2500	2.44379e-10	0
-0.85	-7125	-1	2500	-4.82798e-10	0
-0.84	-7100	-1	2500	2.29478e-10	0
-0.83	-7075	-1	2500	7.45058e-11	0
-0.82	-7050	-1	2500	-7.15256e-11	0
-0.81	-7025	-1	2500	7.45058e-11	0
-0.8	-7000	-1	2500	3.99351e-10	0
-0.79	-6975	-1	2500	-2.6226e-10	0
-0.78	-6950	-1	2500	3.66569e-10	0
-0.77	-6925	-1	2500	-6.85453e-11	0
-0.76	-6900	-1	2500	6.31809e-10	0
-0.75	-6875	-1	2500	0	0
-0.74	-6850	-1	2500	-6.34789e-10	0
-0.73	-6825	-1	2500	6.25849e-11	0
-0.72	-6800	-1	2500	-3.69549e-10	0
-0.71	-6775	-1	2500	2.6226e-10	0
-0.7	-6750	-1	2500	-3.54648e-10	0
-0.69	-6725	-1	2500	-4.17233e-11	0
-0.68	-6700	-1	2500	4.17233e-11	0
-0.67	-6675	-1	2500	-1.78814e-11	0
-0.66	-6650	-1	2500	-2.77162e-10	0
-0.65	-6625	-1	2500	3.27826e-10	0
-0.64	-6600	-1	2500	-7.7486e-11	0
-0.63	-6575	-1	2500	3.18885e-10	0
-0.62	-6550	-1	2500	-3.06964e-10	0
-0.61	-6525	-1	2500	8.04663e-11	0
-0.6	-6500	-1	2500	-3.24845e-10	0
-0.59	-6475	-1	2500	3.01003e-10	0
-0.58	-6450	-1	2500	2.38419e-11	0
-0.57	-6425	-1	2500	-2.08616e-11	0
-0.56	-6400	-1	2500	2.08616e-11	0
-0.55	-6375	-1	2500	1.19209e-11	0
-0.54	-6350	-1	2500	-2.77162e-10	0
-0.53	-6325	-1	2500	2.86102e-10	0
-0.52	-6296.8	-0.999717	2498.58	0.0109276	0.000534872
-0.51	-6273.64	-0.999879	2499.4	0.00417446	0.000205233
-0.5	-6250	-1	2500	0	0
-0.49	-6220.57	-0.999606	2498.03	0.0149999	0.000744039
-0.48	-6198.34	-0.999851	2499.26	0.00485762	0.000242029
-0.47	-6172.16	-0.999746	2498.73	0.00692915	0.000346789
-0.46	-6150	-1	2500	3.06964e-10	0
-0.45	-6125	-1	2500	-1.10269e-10	0
-0.44	-6100	-1	2500	1.46031e-10	0
-0.43	-6075	-1	2500	-2.98023e-11	0
-0.42	-6050	-1	2500	1.2219e-10	0
-0.41	-6021.47	-0.99966	2498.3	0.0123782	0.000765627
-0.4	-5995.62	-0.999602	2498.01	0.0134746	0.000696003
-0.39	-5972.07	-0.999733	2498.67	0.00857686	0.00044504
-0.38	-5946.87	-0.99971	2498.55	0.0107146	0.00058445
-0.37	-5920.4	-0.999576	2497.88	0.0188878	0.00100337
-0.36	-5896.74	-0.999701	2498.51	0.00854321	0.000449414
-0.35	-5872.07	-0.99973	2498.65	0.00990397	0.000523397
-0.34	-5847.1	-0.999732	2498.66	0.00775924	0.000411945
-0.33	-5822.92	-0.999808	2499.04	0.00737031	0.000393106
-0.32	-5798.15	-0.999826	2499.13	0.00518407	0.000292146
-0.31	-5772.35	-0.999754	2498.77	0.00632945	0.00034073
-0.3	-5746.68	-0.999691	2498.46	0.0103952	0.000562206
-0.29	-5722.88	-0.9998	2499	0.00693272	0.000392385
-0.28	-5700	-1	2500	8.64267e-11	0
-0.27	-5670.57	-0.999584	2497.92	0.0135564	0.000753186
-0.26	-5650	-1	2500	4.17233e-11	0
-0.25	-5617.94	-0.999328	2496.64	0.0203052	0.00119651
-0.24	-5593.38	-0.999375	2496.88	0.0205353	0.00114369
-0.23	-5570.58	-0.999578	2497.89	0.0134246	0.000769571
-0.22	-5546.05	-0.999625	2498.13	0.010294	0.000578044
-0.21	-5520.18	-0.999539	2497.7	0.0165075	0.000963057
-0.2	-5492.29	-0.999266	2496.33	0.0233738	0.00132505
-0.19	-5471.17	-0.999634	2498.17	0.0115872	0.000660013
-0.18	-5445.17	-0.999529	2497.65	0.0131332	0.000802217
-0.17	-5419.51	-0.999461	2497.3	0.0153742	0.000940396
-0.16	-5394.9	-0.999509	2497.55	0.0148609	0.000860901
-0.15	-5373.57	-0.999862	2499.31	0.00393475	0.000228465
-0.14	-5344.78	-0.999491	2497.46	0.0179147	0.00107602
-0.13	-5319.93	-0.999508	2497.54	0.0177909	0.00104573
-0.12	-5296.69	-0.999679	2498.39	0.0101683	0.000602583
-0.11	-5269.74	-0.999476	2497.38	0.0198449	0.00127021
-0.1	-5244.28	-0.999435	2497.18	0.022284	0.00136315
