-0.2	-747.355	0.958067	3.41504e-005	0.00142293
-0.21	-765.355	0.978233	0.00360369	0.00297093
-0.22	-773.868	0.975133	4.52249e-006	0.000155733
-0.23	-761.83	0.974967	0.000338836	3.97333e-005
-0.24	-751.3	0.96	-1.67638e-012	0
-0.25	-754.183	0.969033	0.00413525	0.000935733
-0.26	-795.16	1	-1.25729e-012	0
-0.27	-726.319	0.9384	0.00134084	0.0085056
-0.28	-776.62	0.985	4.19095e-012	0
-0.29	-769.071	0.979733	0.000831185	0.000542933
-0.3	-730.131	0.9408	0.00591811	0.0011264
-0.31	-738.5	0.940967	0.00182444	0.00117573
-0.32	-727.297	0.742367	9.18979e-005	0.00149573
-0.33	-805.377	-0.609267	0.00184843	0.00595093
-0.34	-817.533	-0.570533	0.00472048	0.0233717
-0.35	-834.448	-0.681867	0.00547715	0.0357237
-0.36	-819.119	-0.667867	0.00287368	0.00826773
-0.37	-846.656	-0.662133	0.00345499	0.0161877
-0.38	-843.784	-0.652	0.00029111	0.00336
-0.39	-867.564	-0.726567	0.00122941	0.00833093
-0.4	-863.097	-0.7464	0.00531254	0.0037696
-0.41	-859.926	-0.730767	0.000243827	0.00125893
-0.42	-876.705	-0.795467	0.0029639	0.00818773
-0.43	-878.643	-0.793933	0.000366096	0.00100693
-0.44	-879.539	-0.752833	0.000390867	0.00155333
-0.45	-862.115	-0.7469	0.00207215	0.0047736
-0.46	-875.03	-0.789767	0.00681418	0.00898693
-0.47	-879.467	-0.7989	0.00306711	0.0061496
-0.48	-871.894	-0.799033	0.00212854	0.00621573
-0.49	-873.261	-0.7831	0.00158064	0.0071736
-0.5	-864.6	-0.800867	0.00197136	0.00125973
-0.51	-896.475	-0.840367	0.000238418	0.00152773
-0.52	-879.79	-0.7987	0.00018729	0.0011544
-0.53	-904.308	-0.837867	0.00465523	0.00146773
-0.54	-893.351	-0.824867	0.000778639	0.00103573
-0.55	-892.538	-0.8399	2.13444e-005	0.0001176
-0.56	-911.53	-0.8354	8.30915e-005	0.0004416
-0.57	-916.569	-0.840067	0.000641987	0.00223893
-0.58	-889.81	-0.810733	0.000151568	0.000750933
-0.59	-916.26	-0.855	-6.28643e-013	0
-0.6	-907.46	-0.835	1.88593e-012	0
-0.61	-902.931	-0.832833	0.00040038	0.00179333
-0.62	-904.535	-0.839333	0.00015991	0.000693333
-0.63	-897.96	-0.845	-2.20025e-012	0
-0.64	-923.24	-0.85	3.14321e-013	0
-0.65	-919.318	-0.8503	8.57844e-005	0.0003384
-0.66	-891.104	-0.820167	0.000395093	0.000513333
-0.67	-895.854	-0.836867	0.00081987	0.00156373
-0.68	-920.368	-0.853633	0.000330634	0.00119173
-0.69	-898.343	-0.822933	0.0118895	0.00193493
-0.7	-923.6	-0.864333	0.00061344	0.000693333
-0.71	-909.88	-0.844767	0.000400135	0.000266933
-0.72	-909.765	-0.844833	0.000399872	0.000833333
-0.73	-936.112	-0.8797	0.0001082	0.0003384
-0.74	-942.72	-0.875	4.71482e-012	0
-0.75	-940.037	-0.879833	0.00087725	0.000193333
-0.76	-947.28	-0.89	-8.17236e-012	0
-0.77	-937.74	-0.885	4.4005e-012	0
-0.78	-947.3	-0.89	7.22939e-012	0
-0.79	-930.56	-0.875	-5.65778e-012	0
-0.8	-919.573	-0.867	0.00395264	0.00144
-0.81	-921.644	-0.859767	0.000105081	0.000266933
-0.82	-929.02	-0.87	3.03844e-012	0
-0.83	-934.68	-0.875	-2.20025e-012	0
-0.84	-936.36	-0.88	6.3912e-012	0
-0.85	-934.694	-0.8751	5.09796e-005	0.0001176
-0.86	-953.54	-0.895	-2.09548e-013	0
-0.87	-942.06	-0.885	-7.01984e-012	0
-0.88	-944.3	-0.88	2.4098e-012	0
-0.89	-945.439	-0.8832	0.000656999	0.0013824
-0.9	-942.08	-0.885	3.56231e-012	0
-0.91	-942.08	-0.885	3.56231e-012	0
-0.92	-924.56	-0.87	-4.92437e-012	0
-0.93	-938.42	-0.875	-6.49597e-012	0
-0.94	-932.535	-0.8802	0.00119489	0.0002304
-0.95	-942.38	-0.875	2.72412e-012	0
-0.96	-926.239	-0.874633	0.00022546	0.000407733
-0.97	-954.14	-0.895	4.08618e-012	0
