1	1	2.06501e-014
0.99	1	2.06501e-014
0.98	1	2.06501e-014
0.97	0.995	0.009975
0.96	0.995	0.009975
0.95	1	2.06501e-014
0.94	1	2.06501e-014
0.93	1	2.06501e-014
0.92	1	2.06501e-014
0.91	1	2.06501e-014
0.9	1	2.06501e-014
0.89	0.985	0.029775
0.88	0.995	0.009975
0.87	0.99	0.0199
0.86	0.99	0.0199
0.85	0.995	0.009975
0.84	0.995	0.009975
0.83	0.995	0.009975
0.82	0.995	0.009975
0.81	0.995	0.009975
0.8	0.99	0.0199
0.79	0.99	0.0199
0.78	1	2.06501e-014
0.77	1	2.06501e-014
0.76	0.995	0.009975
0.75	0.995	0.009975
0.74	0.995	0.009975
0.73	0.995	0.009975
0.72	0.99	0.0199
0.71	0.99	0.0199
0.7	0.99	0.0199
0.69	0.985	0.029775
0.68	0.995	0.009975
0.67	0.995	0.009975
0.66	1	2.06501e-014
0.65	1	2.06501e-014
0.64	0.985	0.029775
0.63	1	2.06501e-014
0.62	1	2.06501e-014
0.61	1	2.06501e-014
0.6	1	2.06501e-014
0.59	0.995	0.009975
0.58	1	2.06501e-014
0.57	0.995	0.009975
0.56	0.995	0.009975
0.55	0.995	0.009975
0.54	0.995	0.009975
0.53	0.995	0.009975
0.52	0.995	0.009975
0.51	0.99	0.0199
0.5	0.98	0.0396
0.49	0.995	0.009975
0.48	0.995	0.009975
0.47	0.99	0.0199
0.46	0.99	0.0199
0.45	0.99	0.0199
0.44	0.99	0.0199
0.43	0.985	0.029775
0.42	0.985	0.029775
0.41	1	2.06501e-014
0.4	0.995	0.009975
0.39	0.995	0.009975
0.38	0.995	0.009975
0.37	0.99	0.0199
0.36	0.995	0.009975
0.35	1	2.06501e-014
0.34	0.995	0.009975
0.33	0.97	0.0591
0.32	0.985	0.029775
0.31	0.99	0.0199
0.3	0.99	0.0199
0.29	0.99	0.0199
0.28	1	2.06501e-014
0.27	0.995	0.009975
0.26	1	2.06501e-014
0.25	1	2.06501e-014
0.24	1	2.06501e-014
0.23	1	2.06501e-014
0.22	1	2.06501e-014
0.21	0.985	0.029775
0.2	0.99	0.0199
0.19	1	2.06501e-014
0.18	0.995	0.009975
0.17	0.985	0.029775
0.16	0.975	0.049375
0.15	0.975	0.049375
0.14	0.985	0.029775
0.13	0.985	0.029775
0.12	0.985	0.029775
0.11	0.995	0.009975
0.1	0.995	0.009975
0.09	0.99	0.0199
0.08	0.98	0.0396
0.07	0.98	0.0396
0.06	0.98	0.0396
0.05	0.995	0.009975
0.04	0.99	0.0199
0.03	0.965	0.068775
0.02	0.99	0.0199
0.01	0.995	0.009975
-7.5287e-016	0.995	0.009975
-0.01	0.995	0.009975
-0.02	0.995	0.009975
-0.03	0.995	0.009975
-0.04	1	2.06501e-014
-0.05	0.995	0.009975
-0.06	0.98	0.0396
-0.07	0.985	0.029775
-0.08	0.975	0.049375
-0.09	0.995	0.009975
-0.1	0.985	0.029775
-0.11	0.995	0.009975
-0.12	0.95	0.0975
-0.13	0.95	0.0975
-0.14	0.995	0.009975
-0.15	0.995	0.009975
-0.16	0.985	0.029775
-0.17	0.98	0.0396
-0.18	0.985	0.029775
-0.19	0.985	0.029775
-0.2	0.955	0.087975
-0.21	0.97	0.0591
-0.22	0.975	0.049375
-0.23	0.97	0.0591
-0.24	0.96	0.0784
-0.25	0.965	0.068775
-0.26	1	2.06501e-014
-0.27	0.945	0.106975
-0.28	0.985	0.029775
-0.29	0.97	0.0591
-0.3	0.945	0.106975
-0.31	0.945	0.106975
-0.32	0.745	0.444975
-0.33	-0.6	0.64
-0.34	-0.585	0.657775
-0.35	-0.67	0.5511
-0.36	-0.645	0.583975
-0.37	-0.655	0.570975
-0.38	-0.655	0.570975
-0.39	-0.71	0.4959
-0.4	-0.745	0.444975
-0.41	-0.74	0.4524
-0.42	-0.785	0.383775
-0.43	-0.795	0.367975
-0.44	-0.755	0.429975
-0.45	-0.75	0.4375
-0.46	-0.79	0.3759
-0.47	-0.805	0.351975
-0.48	-0.79	0.3759
-0.49	-0.79	0.3759
-0.5	-0.8	0.36
-0.51	-0.845	0.285975
-0.52	-0.8	0.36
-0.53	-0.835	0.302775
-0.54	-0.835	0.302775
-0.55	-0.84	0.2944
-0.56	-0.835	0.302775
-0.57	-0.835	0.302775
-0.58	-0.81	0.3439
-0.59	-0.855	0.268975
-0.6	-0.835	0.302775
-0.61	-0.835	0.302775
-0.62	-0.84	0.2944
-0.63	-0.845	0.285975
-0.64	-0.85	0.2775
-0.65	-0.855	0.268975
-0.66	-0.825	0.319375
-0.67	-0.835	0.302775
-0.68	-0.855	0.268975
-0.69	-0.82	0.3276
-0.7	-0.865	0.251775
-0.71	-0.845	0.285975
-0.72	-0.85	0.2775
-0.73	-0.88	0.2256
-0.74	-0.875	0.234375
-0.75	-0.875	0.234375
-0.76	-0.89	0.2079
-0.77	-0.885	0.216775
-0.78	-0.89	0.2079
-0.79	-0.875	0.234375
-0.8	-0.87	0.2431
-0.81	-0.855	0.268975
-0.82	-0.87	0.2431
-0.83	-0.875	0.234375
-0.84	-0.88	0.2256
-0.85	-0.875	0.234375
-0.86	-0.895	0.198975
-0.87	-0.885	0.216775
-0.88	-0.88	0.2256
-0.89	-0.885	0.216775
-0.9	-0.885	0.216775
-0.91	-0.885	0.216775
-0.92	-0.87	0.2431
-0.93	-0.875	0.234375
-0.94	-0.885	0.216775
-0.95	-0.875	0.234375
-0.96	-0.875	0.234375
-0.97	-0.895	0.198975
-0.98	-0.885	0.216775
-0.99	-0.885	0.216775
