uB	E	M	M2	C	X
1	-20701.5	0.824859	1701.63	0.724674	0.193991
0.99	-16231	0.823388	1695.51	0.652684	0.177176
0.98	-16425.7	0.820661	1684.38	0.717906	0.200367
0.97	-15831.9	0.818077	1673.81	0.725651	0.205159
0.96	-16793.9	0.816493	1667.35	0.728021	0.20831
0.95	-16165.7	0.814083	1657.52	0.721377	0.208572
0.94	-16726.1	0.811768	1648.14	0.732335	0.21544
0.93	-15637.6	0.810243	1641.96	0.733403	0.218134
0.92	-16058.2	0.806929	1628.57	0.727746	0.219682
0.91	-16445.8	0.805426	1622.53	0.740224	0.224774
0.9	-16295.4	0.802505	1610.83	0.770787	0.238533
0.89	-16100.6	0.802099	1609.05	0.654937	0.193612
0.88	-16021	0.798596	1595.18	0.741201	0.235989
0.87	-15357.6	0.796022	1584.96	0.766767	0.248365
0.86	-16204.7	0.795998	1584.98	0.805427	0.285779
0.85	-15808.7	0.791155	1565.67	0.767872	0.257227
0.84	-15430.5	0.788248	1554.21	0.76887	0.261102
0.83	-15406.8	0.786216	1546.2	0.74939	0.25735
0.82	-15150.6	0.78351	1535.58	0.748278	0.258411
0.81	-15314.7	0.780614	1524.3	0.763448	0.270581
0.8	-14527.8	0.777548	1512.39	0.779253	0.281294
0.79	-15070	0.7753	1503.69	0.783926	0.288292
0.78	-14379.6	0.77462	1500.68	0.508237	0.175021
0.77	-14860.8	0.769871	1482.75	0.787071	0.299752
0.76	-15246.1	0.766026	1468	0.795296	0.301613
0.75	-14783.7	0.762812	1455.71	0.779255	0.301558
0.74	-15117.8	0.759967	1444.93	0.783239	0.315238
0.73	-14694.1	0.756895	1433.32	0.796369	0.328142
0.72	-14139.7	0.754485	1424.2	0.763989	0.324025
0.71	-13931	0.752798	1417.85	0.76525	0.327591
0.7	-13932.1	0.746378	1393.82	0.781216	0.336534
0.69	-14004.6	0.743888	1384.62	0.818432	0.358324
0.68	-14138.2	0.739619	1368.78	0.790876	0.356553
0.67	-13630.4	0.736332	1356.66	0.788659	0.358872
0.66	-14297.1	0.732691	1343.35	0.799093	0.376483
0.65	-13595.7	0.728904	1329.54	0.807408	0.386677
0.64	-13740.9	0.724251	1312.67	0.798469	0.395447
0.63	-12982.2	0.721108	1301.34	0.814636	0.40425
0.62	-13955.6	0.716329	1284.18	0.800709	0.408138
0.61	-12712.3	0.714022	1276.02	0.840802	0.43581
0.6	-13720.9	0.709016	1258.26	0.839391	0.451258
0.59	-12948.7	0.7033	1238.1	0.815712	0.457215
0.58	-13663.6	0.699271	1223.98	0.826566	0.459183
0.57	-12641.3	0.695692	1211.51	0.815867	0.461049
0.56	-12495.2	0.692283	1199.83	0.855562	0.507812
0.55	-12908.6	0.685023	1174.82	0.828775	0.5022
0.54	-12514.8	0.679818	1157.14	0.849264	0.526831
0.53	-12426.7	0.675257	1141.72	0.847986	0.536117
0.52	-12722.8	0.666736	1113.07	0.776628	0.519155
0.51	-12847.6	0.663151	1101.29	0.835034	0.558537
0.5	-13129.1	0.658783	1086.86	0.832992	0.562771
0.49	-12992.2	0.653691	1070.18	0.795643	0.570426
0.48	-11963.3	0.64787	1051.38	0.858594	0.611565
0.47	-11336.8	0.640859	1028.8	0.813133	0.613616
0.46	-11238.5	0.628956	991.132	0.857468	0.650395
0.45	-11974.8	0.628065	988.256	0.793342	0.627793
0.44	-11567.3	0.62102	966.255	0.76989	0.627155
0.43	-11232.2	0.617207	954.523	0.75723	0.648031
0.42	-11004.6	0.607077	923.655	0.775334	0.689904
0.41	-11451	0.599614	901.311	0.810155	0.740948
0.4	-10902	0.592348	879.84	0.816471	0.794896
0.39	-11066.3	0.583637	854.321	0.824472	0.821797
0.38	-10056.9	0.577775	837.325	0.816037	0.829819
0.37	-10303.9	0.575235	829.75	0.746521	0.753487
0.36	-11269.2	0.561863	792.202	0.801087	0.8931
0.35	-9995.39	0.551733	764.137	0.784142	0.934337
0.34	-10754.7	0.541975	737.488	0.783696	0.943758
0.33	-9952.59	0.534696	717.999	0.775533	0.974752
0.32	-10507.9	0.519693	678.507	0.810353	0.991519
0.31	-9725.82	0.51158	657.758	0.757004	1.0414
0.3	-9557.33	0.504659	640.198	0.734945	1.04884
0.29	-10225.1	0.492181	609.117	0.719851	1.05358
0.28	-10069.7	0.502222	631.682	0.183568	0.334194
0.27	-9875.44	0.453161	514.581	0.309777	0.358514
0.26	-9744.97	0.464606	543.327	0.601627	1.1043
0.25	-9560.31	0.445419	499.783	0.641571	1.13618
0.24	-9206.37	0.439801	488.217	0.720531	1.39675
0.23	-8802.15	0.426661	459.334	0.626654	1.2707
0.22	-8660.61	0.408411	421.51	0.620368	1.35348
0.21	-9118.24	0.393605	392.062	0.597976	1.42514
0.2	-8055.27	0.379968	365.706	0.58912	1.43031
0.19	-8741.19	0.363646	335.702	0.578947	1.53146
0.18	-8366.84	0.348919	309.393	0.543419	1.50962
0.17	-8103.31	0.332126	280.638	0.48969	1.46057
0.16	-8471.7	0.311979	248.539	0.468539	1.56339
0.15	-7759.79	0.300256	231.01	0.544249	1.68768
0.14	-8141.38	0.283129	206.332	0.482269	1.77833
0.13	-7438.53	0.26786	185.45	0.453708	1.8232
0.12	-7696.62	0.249183	161.595	0.449181	1.90913
0.11	-7339.55	0.218133	124.616	0.402549	1.69821
0.1	-7771.59	0.207432	114.166	0.388604	1.97876
0.09	-7050.03	0.1817	87.3793	0.294707	1.45274
0.08	-7436.79	0.170699	79.4594	0.370879	1.98422
0.07	-7214	0.151035	64.0017	0.343198	2.09186
0.06	-7386.38	0.13392	52.0093	0.32775	2.15191
0.05	-7701.99	0.105439	35.4577	0.303173	2.29929
0.04	-7138.98	0.0836567	23.7523	0.296849	1.87688
0.03	-7354.01	0.0671147	18.2112	0.302688	2.08506
0.02	-7359.91	0.044946	12.4178	0.29015	2.21023
0.01	-6729.78	0.0255735	8.49231	0.286651	2.05719
-7.5287e-16	-7183.54	-0.0031582	8.06568	0.244259	2.41222
-0.01	-7135.39	-0.0191814	6.00644	0.270787	1.52599
-0.02	-6664.07	-0.0476263	12.5957	0.277564	2.07752
-0.03	-7197.18	-0.0653736	17.7505	0.289186	2.11987
-0.04	-6826.95	-0.0918772	28.2942	0.309112	2.15719
-0.05	-7592.01	-0.105167	34.5124	0.313599	2.05857
-0.06	-7813	-0.124976	45.8261	0.332435	2.03363
-0.07	-6406.44	-0.150302	63.603	0.35508	2.13791
-0.08	-7423.25	-0.177061	85.1422	0.37631	2.02961
-0.09	-7435.92	-0.188666	95.5796	0.369097	1.97768
-0.1	-7406.6	-0.223685	127.559	0.323651	0.741324
-0.11	-7347.64	-0.240934	152.032	0.451202	2.07295
-0.12	-7221.4	-0.244093	155.298	0.46544	1.90322
-0.13	-7713.21	-0.258089	172.534	0.426211	1.80292
-0.14	-7604.83	-0.283688	206.569	0.441812	1.61153
-0.15	-7619.02	-0.298393	228.808	0.539518	1.86343
-0.16	-7403.61	-0.317267	257.569	0.513035	1.77706
-0.17	-7496.15	-0.330936	279.305	0.555343	1.65254
-0.18	-7743.34	-0.350457	312.41	0.657409	1.60777
