uB	E	M	M2	C	X
-1	-20702	-0.824902	1701.81	0.724647	0.196303
-0.99	-16550	-0.822889	1693.47	0.65806	0.181514
-0.98	-16657.3	-0.821109	1686.19	0.69332	0.191342
-0.97	-16571.1	-0.819021	1677.61	0.679225	0.186218
-0.96	-16552.4	-0.816307	1666.58	0.720395	0.205603
-0.95	-16660.8	-0.814418	1658.95	0.791719	0.227905
-0.94	-16726.8	-0.81184	1648.43	0.734444	0.215436
-0.93	-15621.8	-0.809689	1639.73	0.750479	0.223312
-0.92	-16471	-0.804281	1617.88	0.667528	0.211633
-0.91	-16388.9	-0.805597	1623.22	0.745599	0.22667
-0.9	-15302	-0.80287	1612.28	0.749064	0.234254
-0.89	-16239.2	-0.80084	1604.16	0.750886	0.238132
-0.88	-15657	-0.79815	1593.41	0.758105	0.241979
-0.87	-15451.5	-0.795816	1584.12	0.74798	0.243383
-0.86	-15418.3	-0.79402	1576.96	0.72017	0.237109
-0.85	-14917.9	-0.790893	1564.61	0.749442	0.249317
-0.84	-14956.5	-0.787542	1551.33	0.686877	0.232578
-0.83	-15815.5	-0.78613	1545.86	0.745043	0.25912
-0.82	-15491.6	-0.783852	1536.94	0.749257	0.265453
-0.81	-16025.5	-0.781106	1526.2	0.741631	0.263795
-0.8	-15512.8	-0.777462	1512.04	0.767203	0.275956
-0.79	-14601.7	-0.77533	1503.79	0.778366	0.286128
-0.78	-15374.8	-0.772138	1491.46	0.783946	0.289872
-0.77	-14570.3	-0.769617	1481.75	0.770866	0.291762
-0.76	-14590.3	-0.767094	1472.03	0.719565	0.284207
-0.75	-15217.8	-0.763071	1456.72	0.775119	0.308374
-0.74	-14540.9	-0.75981	1444.32	0.787649	0.312389
-0.73	-14172.4	-0.756045	1430.1	0.782193	0.327086
-0.72	-14061	-0.750456	1408.94	0.692829	0.293911
-0.71	-14675.4	-0.750787	1410.31	0.790855	0.333621
-0.7	-14089.8	-0.751517	1412.79	0.586451	0.253429
-0.69	-13871.9	-0.743828	1384.35	0.786283	0.346047
-0.68	-13922.7	-0.739797	1369.44	0.795339	0.358514
-0.67	-13924.4	-0.735372	1353.17	0.779539	0.372585
-0.66	-14275.1	-0.733142	1344.98	0.78332	0.372177
-0.65	-13431.6	-0.729578	1331.97	0.794047	0.378628
-0.64	-13157.9	-0.725057	1315.63	0.834566	0.407049
-0.63	-13412.5	-0.72097	1300.83	0.807627	0.401976
-0.62	-14204.4	-0.717866	1289.79	0.867327	0.437734
-0.61	-13758.6	-0.712206	1269.47	0.797136	0.41433
-0.6	-13247.4	-0.708223	1255.39	0.810558	0.432157
-0.59	-13527.2	-0.705733	1246.6	0.810496	0.435319
-0.58	-13154	-0.69799	1219.57	0.841394	0.477662
-0.57	-12588.2	-0.698348	1220.88	0.82968	0.496654
-0.56	-12917.5	-0.690188	1192.47	0.818965	0.469925
-0.55	-13154	-0.683828	1170.78	0.867644	0.517726
-0.54	-12886.3	-0.679768	1156.91	0.821792	0.50837
-0.53	-12135.6	-0.674827	1140.2	0.829082	0.516353
-0.52	-12044.5	-0.67203	1130.66	0.752141	0.479446
-0.51	-12085.7	-0.679794	1156.83	0.713857	0.457848
-0.5	-12950.7	-0.659081	1087.65	0.764187	0.504531
-0.49	-11956.6	-0.653139	1068.42	0.82374	0.581917
-0.48	-11578.3	-0.645277	1043.01	0.829824	0.617783
-0.47	-11195.3	-0.641809	1031.87	0.819294	0.623629
-0.46	-11771.1	-0.634884	1009.67	0.765658	0.592234
-0.45	-11970.8	-0.624749	977.899	0.786563	0.635718
-0.44	-10904.1	-0.622818	972.045	0.829087	0.68709
-0.43	-11211.1	-0.614638	946.771	0.818163	0.696393
-0.42	-11642	-0.607064	923.69	0.813137	0.711699
-0.41	-11265.9	-0.601173	905.978	0.813012	0.736395
-0.4	-10173.9	-0.593576	883.402	0.81332	0.770982
-0.39	-10550.9	-0.586573	862.794	0.802115	0.787466
-0.38	-10576.9	-0.57606	832.54	0.835034	0.878414
-0.37	-11120.3	-0.568418	810.553	0.793795	0.841479
-0.36	-10128.1	-0.561182	790.202	0.787119	0.866598
-0.35	-11164.9	-0.553161	767.704	0.729897	0.821314
-0.34	-10057.9	-0.543374	741.182	0.779671	0.91276
-0.33	-9625.12	-0.533137	713.423	0.740452	0.850856
-0.32	-10719	-0.524819	691.792	0.755917	0.961099
-0.31	-10331.1	-0.51304	660.541	0.655032	0.754672
-0.3	-9231.08	-0.50368	637.752	0.738279	1.05514
-0.29	-9225.64	-0.494634	615.184	0.71395	1.05814
-0.28	-9929.93	-0.483053	586.987	0.690069	1.09068
-0.27	-9461.68	-0.470329	556.97	0.707599	1.18379
-0.26	-9146.99	-0.457424	527.025	0.695118	1.18015
-0.25	-9524.74	-0.446743	503.048	0.663069	1.22984
-0.24	-9103.86	-0.431306	468.703	0.557978	1.0924
-0.23	-9444.61	-0.419592	444.789	0.66467	1.39354
-0.22	-8548.3	-0.406401	417.316	0.620786	1.32337
-0.21	-8499.93	-0.392581	390.137	0.605881	1.45152
-0.2	-8955.58	-0.378882	363.576	0.577329	1.4094
-0.19	-7890.17	-0.362708	333.873	0.586789	1.49392
-0.18	-8317.28	-0.347899	307.857	0.538441	1.58196
-0.17	-8815.62	-0.332566	281.911	0.531418	1.6233
-0.16	-8161.05	-0.315121	253.599	0.504783	1.60379
-0.15	-7620.96	-0.297437	226.432	0.459956	1.57789
-0.14	-7673.89	-0.282774	205.554	0.474814	1.69533
-0.13	-8063.21	-0.26565	182.376	0.460792	1.78533
-0.12	-7486.06	-0.243967	155.103	0.419274	1.89109
-0.11	-7755.68	-0.226704	133.8	0.375202	1.59406
-0.1	-7909.78	-0.210018	116.657	0.391395	1.91636
-0.09	-7209.33	-0.187403	94.0212	0.379901	1.86644
-0.08	-7138.51	-0.169002	78.1837	0.348918	2.03392
-0.07	-7135.9	-0.144808	59.2376	0.357419	2.04422
-0.06	-7174.43	-0.13404	52.31	0.344417	2.21799
-0.05	-7023.02	-0.11163	38.4272	0.31565	2.1823
-0.04	-7342.49	-0.0848977	25.1818	0.302921	2.14884
-0.03	-6412.92	-0.0686272	19.2835	0.264882	2.25279
-0.02	-6736.99	-0.0419829	11.3108	0.290698	2.07132
-0.01	-7162.11	-0.0219257	8.6545	0.284236	2.2358
7.5287e-16	-7616.49	0.000316033	7.12825	0.283545	2.1384
0.01	-6829.87	0.0196936	6.64627	0.282401	1.703
0.02	-7265.2	0.0516089	15.9348	0.335749	2.78284
0.03	-7583.34	0.065325	17.5678	0.306745	2.06984
0.04	-6645.77	0.0873809	26.0564	0.312445	2.09036
0.05	-7237.98	0.109611	36.9456	0.314623	2.07282
0.06	-7468.18	0.129257	48.6624	0.326904	2.0683
0.07	-7598.15	0.155709	67.6198	0.348145	2.102
0.08	-7003.2	0.167427	76.7586	0.358763	2.0038
0.09	-7411.7	0.190094	96.9994	0.377739	1.99807
0.1	-7137.42	0.207995	114.509	0.397229	1.90626
0.11	-7223.25	0.236148	145.324	0.404109	1.7728
0.12	-7824.53	0.245297	156.995	0.445676	1.97066
0.13	-7687.27	0.266747	183.718	0.466414	1.75
0.14	-7940.05	0.275714	192.41	0.297781	0.709272
0.15	-8380.88	0.300718	231.494	0.48489	1.6249
0.16	-7447.25	0.318091	258.429	0.544311	1.64224
0.17	-8384.95	0.331912	280.865	0.54225	1.63521
0.18	-8923.73	0.344185	301.288	0.540319	1.53885
0.19	-7619.69	0.364516	337.755	0.58485	1.67233
0.2	-9024.49	0.378201	362.226	0.578713	1.39106
0.21	-8400.8	0.394971	394.56	0.58473	1.36638
0.22	-9175.85	0.408173	421.097	0.632031	1.37515
0.23	-8503.3	0.411253	427.412	0.650454	1.37672
0.24	-8768.73	0.432665	472.241	0.669424	1.27322
0.25	-8771.91	0.443233	495.433	0.672506	1.28832
0.26	-9283.43	0.459044	530.918	0.700777	1.2344
0.27	-9275.42	0.468996	554.125	0.760176	1.26933
0.28	-8718.24	0.482604	586.187	0.737208	1.17628
0.29	-8985.35	0.491336	607.133	0.69196	1.08196
0.3	-9379.46	0.505266	641.614	0.718285	1.01363
0.31	-9516.67	0.512906	661.13	0.749096	1.03501
0.32	-9197.87	0.525191	692.9	0.776424	1.00103
0.33	-10384.2	0.534489	717.586	0.78063	1.01734
0.34	-9691.54	0.541598	736.384	0.753293	0.918899
0.35	-10202.3	0.552659	766.457	0.762509	0.863311
0.36	-10039.9	0.559898	786.669	0.806628	0.88662
0.37	-10224.4	0.569703	814.217	0.792602	0.843596
0.38	-11176.7	0.579299	841.654	0.790073	0.806199
0.39	-10197.2	0.585321	859.032	0.775107	0.758633
0.4	-10581.7	0.591584	877.405	0.806447	0.743137
0.41	-10493.5	0.599969	902.266	0.777676	0.707634
0.42	-10658.4	0.609691	931.643	0.835838	0.700545
0.43	-11420.6	0.615881	950.409	0.77556	0.640249
0.44	-11774.5	0.621731	968.579	0.808026	0.661675
0.45	-11746.9	0.628015	988.141	0.795085	0.640509
0.46	-11467.8	0.628767	990.53	0.84939	0.647684
0.47	-12039.1	0.639892	1025.71	0.816453	0.616192
0.48	-11943.3	0.646557	1047.09	0.810318	0.598922
0.49	-12289.1	0.652218	1065.7	0.913542	0.669128
0.5	-12433	0.658649	1086.41	0.818033	0.558821
0.51	-12079.9	0.663777	1103.4	0.844937	0.56997
0.52	-12955	0.669495	1122.29	0.806816	0.520211
0.53	-12662.6	0.674467	1138.99	0.826883	0.518329
0.54	-12757.3	0.680244	1158.54	0.838876	0.514036
0.55	-12227.4	0.687356	1182.75	0.814828	0.482313
0.56	-12445.3	0.689151	1188.91	0.809182	0.475789
0.57	-12557.7	0.693593	1204.01	0.695218	0.400332
0.58	-12777.9	0.699323	1224.16	0.82065	0.457214
0.59	-13281.8	0.706766	1250.29	0.840036	0.449473
0.6	-13870.4	0.708142	1255.06	0.796754	0.42046
0.61	-13122.3	0.712499	1270.57	0.80787	0.429684
0.62	-13476.9	0.716197	1283.8	0.838229	0.435585
0.63	-13673.7	0.722361	1305.78	0.762814	0.378889
0.64	-12740.4	0.725561	1317.53	0.872464	0.429879
0.65	-13637.8	0.728239	1327.15	0.816675	0.396338
0.66	-14100.2	0.731959	1340.68	0.813336	0.38094
0.67	-14161.5	0.734584	1350.2	0.772417	0.349689
0.68	-14676	0.739179	1367.19	0.811686	0.368523
0.69	-13643.4	0.743768	1384.11	0.771228	0.340043
0.7	-14689.3	0.746666	1394.92	0.805449	0.343326
0.71	-13953.2	0.750503	1409.26	0.794139	0.335757
0.72	-13873.4	0.753679	1421.17	0.788554	0.327383
0.73	-14403.5	0.756486	1431.76	0.787257	0.324533
0.74	-14576.2	0.759722	1444.01	0.796154	0.31815
0.75	-15451.9	0.763914	1459.95	0.808163	0.311149
0.76	-14850.3	0.766157	1468.51	0.792195	0.306897
0.77	-14362.4	0.768982	1479.3	0.752612	0.2891
0.78	-15048	0.769547	1481.42	0.728015	0.272661
0.79	-14984.1	0.773485	1496.66	0.7802	0.288776
0.8	-15276.3	0.778012	1514.2	0.783408	0.282824
0.81	-15518.5	0.780617	1524.32	0.767548	0.273312
0.82	-15054.7	0.783214	1534.46	0.767909	0.270408
0.83	-15662	0.786641	1547.86	0.746952	0.256151
0.84	-15157.4	0.788524	1555.29	0.767744	0.260693
0.85	-15124.4	0.791083	1565.36	0.734246	0.248955
0.86	-15114.9	0.793704	1575.73	0.74366	0.244984
0.87	-15302.6	0.796809	1588.05	0.730287	0.235596
0.88	-15648	0.798534	1594.92	0.709798	0.232137
0.89	-15526.7	0.800313	1602.06	0.769686	0.243328
0.9	-15666.5	0.803368	1614.27	0.739878	0.229752
0.91	-16232.7	0.805699	1623.64	0.749596	0.228564
0.92	-16017	0.8077	1631.68	0.727859	0.220856
0.93	-15686.3	0.810221	1641.88	0.734338	0.219721
0.94	-16477.5	0.812201	1649.89	0.734038	0.21523
0.95	-16019.5	0.815204	1662.13	0.775077	0.220609
0.96	-16484.9	0.816866	1668.85	0.706221	0.201303
0.97	-17000.1	0.82189	1689.47	0.777566	0.214321
0.98	-15955.6	0.820447	1683.51	0.729608	0.202852
0.99	-16482.4	0.822163	1690.54	0.714039	0.197034
