uB	E	M	M2	C	X
-1	-0.306907	-1.01848e-05	1.01782	0	0
-0.99	1.69535	0.000886926	0.991585	0	0
-0.98	-0.05963	-0.000454856	1.00725	0	0
-0.97	-1.72673	-0.000240561	0.963218	0	0
-0.96	1.95351	0.00020174	0.987318	0	0
-0.95	0.169176	0.00039485	0.992117	0	0
-0.94	0.464602	0.000320034	1.00503	0	0
-0.93	-0.0719806	0.000213056	1.01764	0	0
-0.92	-0.696039	-0.000107103	0.998151	0	0
-0.91	0.0370843	0.000114851	1.0034	0	0
-0.9	-0.990521	-0.000235019	1.00446	0	0
-0.89	-0.460848	-0.00016145	1.02911	0	0
-0.88	-0.464575	-0.000420804	1.01486	0	0
-0.87	-4.2868	-0.00059701	1.04419	0	0
-0.86	-0.773171	0.000316395	0.998528	0	0
-0.85	1.26976	0.000246757	0.999509	0	0
-0.84	1.42609	0.000674335	0.900477	0	0
-0.83	1.40797	0.000127646	0.974205	0	0
-0.82	-1.50191	-0.0004815	0.977305	0	0
-0.81	0.813399	0.0001132	1.00922	0	0
-0.8	-2.1425	-0.000523377	0.997207	0	0
-0.79	-0.819296	0.000196303	1.02233	0	0
-0.78	2.20249	0.000628375	0.986518	0	0
-0.77	-2.14168	-0.000402766	0.98808	0	0
-0.76	-0.0197457	-0.000140457	1.00878	0	0
-0.75	1.47685	0.000282758	0.996283	0	0
-0.74	-0.570068	-5.71791e-05	0.977096	0	0
-0.73	-3.30593	-0.00113572	1.00981	0	0
-0.72	-0.424578	-1.37349e-05	1.00028	0	0
-0.71	-0.666527	2.41355e-05	1.00181	0	0
-0.7	0.994953	0.000539854	1.04719	0	0
-0.69	-0.270788	-0.000308196	0.970238	0	0
-0.68	3.58828	0.000778259	0.956564	0	0
-0.67	0.203577	-0.000157361	0.985785	0	0
-0.66	0.143736	0.000105846	0.997937	0	0
-0.65	-0.732864	-0.000509357	1.01259	0	0
-0.64	-2.04623	-0.000584403	1.017	0	0
-0.63	-0.385341	-0.0001952	1.02003	0	0
-0.62	0.317472	-0.000395222	1.00165	0	0
-0.61	0.149499	0.000238937	1.01398	0	0
-0.6	-0.587994	-0.000252808	0.967959	0	0
-0.59	1.78755	0.00064539	1.00104	0	0
-0.58	0.823503	-5.55002e-05	0.994475	0	0
-0.57	-0.832789	-0.000147928	0.98556	0	0
-0.56	-2.06508	-0.00043557	0.96541	0	0
-0.55	0.622065	0.00021872	0.992622	0	0
-0.54	1.09147	0.00045646	0.992397	0	0
-0.53	-0.859517	2.30157e-06	1.03911	0	0
-0.52	1.18301	-0.000503431	0.987944	0	0
-0.51	-1.38952	-0.000248684	0.994635	0	0
-0.5	-2.33706	-0.000737498	1.02317	0	0
-0.49	-0.28846	-0.000204046	1.00023	0	0
-0.48	-5.99272	-0.00389702	1.03156	0	0
-0.47	-3.1799	-0.000551705	1.00437	0	0
-0.46	0.335974	0.000230705	0.99566	0	0
-0.45	0.709918	-1.86911e-05	0.986619	0	0
-0.44	-0.180302	-7.50832e-05	1.01432	0	0
-0.43	-1.44071	-0.000895343	0.984495	0	0
-0.42	0.207235	-0.000184273	0.98831	0	0
-0.41	0.287508	0.000345064	0.988524	0	0
-0.4	-1.58639	0.000672329	1.04592	0	0
-0.39	4.33864	0.0024506	0.916686	0	0
-0.38	-0.0680129	-9.22579e-05	1.00425	0	0
-0.37	0.169058	0.000217268	1.00137	0	0
-0.36	-0.818137	-9.71553e-05	0.999933	0	0
-0.35	0.833156	-0.00054596	1.02494	0	0
-0.34	1.73837	-0.000121805	0.976325	0	0
-0.33	-9.04412	-0.00193011	0.903495	0	0
-0.32	-0.628086	-0.000206367	1.01133	0	0
-0.31	-6.42066	-0.00371317	0.972324	0	0
-0.3	-1.71268	0.000385286	0.974514	0	0
-0.29	-0.0154519	5.81284e-06	1.01757	0	0
-0.28	-0.782572	0.000248347	1.01137	0	0
-0.27	-0.363857	-0.000688904	0.982647	0	0
-0.26	0.943723	0.000140834	0.995154	0	0
-0.25	-2.31295	0.000389254	0.991481	0	0
-0.24	2.1907	-0.00250897	1.01365	0	0
-0.23	2.03217	0.000623785	1.02097	0	0
-0.22	1.72382	-0.000359959	0.998355	0	0
-0.21	18.8688	-0.000702032	0.942322	0	0
-0.2	13.1383	3.91538e-05	1.10995	0	0
-0.19	1.70201	0.000880107	0.935318	0	0
-0.18	1.32174	-0.000373555	1.0297	0	0
-0.17	1.87381	-0.000436119	1.00474	0	0
-0.16	1.18347	0.000380656	1.06248	0	0
-0.15	1.32635	-0.000480686	1.11621	0	0
-0.14	1.38551	-0.000334621	0.97364	0	0
-0.13	-5.42414	-0.00179791	1.12974	0	0
-0.12	0.165977	0.000320305	1.01523	0	0
-0.11	0.202433	3.81543e-05	0.995224	0	0
-0.1	0.898777	-0.000165175	1.01127	0	0
-0.09	1.14279	0.000631094	1.01383	0	0
-0.08	-0.192429	0.000134586	1.00399	0	0
-0.07	0.133895	-2.95781e-05	0.985338	0	0
-0.06	1.62455	0.000695982	0.982655	0	0
-0.05	-0.888776	0.000156866	0.949456	0	0
-0.04	-5.35511	-0.00292418	1.06843	0	0
-0.03	-1.27544	0.000841787	0.977241	0	0
-0.02	0.82804	-0.000206548	0.974796	0	0
-0.01	0.0387631	0.000320848	0.98895	0	0
7.5287e-16	-7.07671	0.0039565	1.32303	0	0
0.01	-0.948329	0.000274199	0.996679	0	0
0.02	0.592061	-5.3878e-05	0.974694	0	0
0.03	-1.52866	-3.87111e-05	0.976072	0	0
0.04	-0.652453	-7.91571e-05	0.992309	0	0
0.05	-0.338892	-0.000242799	1.03065	0	0
0.06	-0.516787	-4.57042e-05	0.99708	0	0
0.07	-1.69397	3.55681e-05	1.05736	0	0
0.08	-1.02277	0.000166115	1.04281	0	0
0.09	0.559338	0.000157141	1.05385	0	0
0.1	1.56774	-0.000450423	0.97347	0	0
0.11	1.92181	0.000206301	1.03426	0	0
0.12	0.951202	-0.000416823	1.01294	0	0
0.13	0.488485	1.82342e-05	1.0146	0	0
0.14	-0.911784	0.000767877	0.980863	0	0
0.15	0.804932	4.04718e-05	0.997547	0	0
0.16	0.817604	0.000200353	0.986702	0	0
0.17	0.202874	-6.40718e-06	0.991627	0	0
0.18	2.24219	-0.000366889	0.993035	0	0
0.19	-0.609914	0.000328203	1.00676	0	0
0.2	0.220362	-0.000745987	1.02572	0	0
0.21	0.603418	-0.000133837	1.02389	0	0
0.22	-0.614053	8.55533e-06	0.971272	0	0
0.23	0.0054449	0.000300313	1.00241	0	0
0.24	1.81802	0.000134207	0.963184	0	0
0.25	1.3505	3.87952e-05	1.01426	0	0
0.26	0.585318	-6.51725e-06	0.990462	0	0
0.27	0.279626	-7.58863e-05	1.00999	0	0
0.28	-0.32377	-0.000364968	1.00172	0	0
0.29	0.896823	0.00144789	0.905977	0	0
0.3	-1.09366	-0.0002118	1.00203	0	0
0.31	-2.18955	0.000245847	1.03276	0	0
0.32	-0.710802	0.000717954	0.99639	0	0
0.33	-0.668234	0.000526202	0.973034	0	0
0.34	-0.461576	-0.000189109	1.00796	0	0
0.35	0.0973608	-0.000167849	1.00058	0	0
0.36	0.561388	-0.000234825	0.985132	0	0
0.37	-0.584762	0.000762359	1.00919	0	0
0.38	-3.29773	-0.000441402	0.987382	0	0
0.39	0.472304	-0.000328937	1.00826	0	0
0.4	1.24259	-0.00124924	0.968647	0	0
0.41	-0.26236	0.000669169	0.979501	0	0
0.42	-3.06434	0.000768758	1.00179	0	0
0.43	-0.208711	-0.000243155	1.00208	0	0
0.44	2.142	0.000349784	0.993116	0	0
0.45	0.680664	3.13532e-05	1.03651	0	0
0.46	-0.281201	3.9077e-05	0.963142	0	0
0.47	1.13708	-0.000296432	0.998315	0	0
0.48	0.586433	0.000130235	0.996099	0	0
0.49	-2.01183	0.000248325	1.01302	0	0
0.5	-1.80457	0.00114759	0.978573	0	0
0.51	-2.03077	-0.000138393	1.03742	0	0
0.52	-0.374255	-2.11901e-05	0.987525	0	0
0.53	-2.50083	0.000543412	1.00076	0	0
0.54	0.190003	0.000300916	1.00526	0	0
0.55	-0.479677	0.000629243	0.982224	0	0
0.56	-0.17838	2.22399e-05	1.01002	0	0
0.57	0.593824	-0.000384645	1.00666	0	0
0.58	-0.366211	9.59678e-05	1.00279	0	0
0.59	0.297653	-0.000414888	1.00093	0	0
0.6	-0.541463	0.000240309	0.997303	0	0
0.61	3.33373	-0.00129031	1.00493	0	0
0.62	-0.676307	-0.000179134	0.993396	0	0
0.63	-2.2313	0.00046676	1.01518	0	0
0.64	1.16672	3.66311e-05	1.10912	0	0
0.65	0.579379	-0.000255711	0.993954	0	0
0.66	1.20952	1.43703e-05	0.950932	0	0
0.67	-2.42091	0.000488094	1.00727	0	0
0.68	0.101734	0.000168401	0.996339	0	0
0.69	0.923565	-0.000403572	1.00486	0	0
0.7	-1.93799	-0.000688294	0.931917	0	0
0.71	0.536561	0.000105677	0.999073	0	0
0.72	0.120685	-7.84512e-05	0.995319	0	0
0.73	1.76552	-0.000769207	0.982869	0	0
0.74	-0.618018	-0.000336699	0.997287	0	0
0.75	-0.526025	-9.0481e-05	1.03624	0	0
0.76	-0.411652	-0.000407109	1.0131	0	0
0.77	0.096048	0.000168171	0.985543	0	0
0.78	-1.48108	0.000329251	1.04788	0	0
0.79	-2.72273	0.00108491	1.0133	0	0
0.8	0.354658	-7.96015e-05	1.00489	0	0
0.81	0.098629	0.000150357	0.999674	0	0
0.82	0.652737	-0.000381758	0.971631	0	0
0.83	0.845037	-1.9308e-05	0.987208	0	0
0.84	28.9254	-0.00629124	1.06108	0	0
0.85	0.123953	0.000277865	1.01743	0	0
0.86	-1.11543	0.000582427	1.02691	0	0
0.87	-0.594918	0.000326916	0.989273	0	0
0.88	-0.652109	-0.000107222	0.996929	0	0
0.89	-0.673016	0.000292285	0.995674	0	0
0.9	-0.326933	-3.28207e-05	1.00029	0	0
0.91	3.49149	-0.000278465	1.07869	0	0
0.92	-0.750264	-0.000160954	0.993139	0	0
0.93	-0.435836	1.65721e-05	1.00015	0	0
0.94	0.436953	-0.000203075	1.0016	0	0
0.95	0.290774	0.000123254	0.973307	0	0
0.96	1.26965	-6.28382e-05	0.978245	0	0
0.97	0.43953	0.000306538	1.00455	0	0
0.98	-0.773273	-2.86849e-05	1.01412	0	0
0.99	1.71459	-9.11771e-05	0.987237	0	0
