uB	E	M	M2	C	X
-0.02	-4829.02	-0.974667	2375.03	0.302916	0.0546145
-0.03	-4859.87	-0.975577	2379.46	0.298928	0.0523727
-0.04	-4886.52	-0.975856	2380.82	0.285724	0.0500379
-0.05	-4917.73	-0.976657	2384.72	0.272533	0.0466718
-0.06	-4938.79	-0.97641	2383.51	0.27138	0.0428001
-0.07	-4966.51	-0.976789	2385.37	0.28657	0.0465524
-0.08	-4996.52	-0.977542	2389.04	0.261992	0.039512
-0.09	-5024.93	-0.977999	2391.28	0.293974	0.043436
-0.1	-5050.15	-0.978015	2391.37	0.295987	0.0482813
-0.11	-5080.37	-0.978853	2395.44	0.233534	0.03468
-0.12	-5108.09	-0.979182	2397.06	0.278409	0.0420943
-0.13	-5136.91	-0.979733	2399.75	0.252498	0.0369799
-0.14	-5166.12	-0.980332	2402.68	0.225097	0.0340594
-0.15	-5190.62	-0.98026	2402.34	0.253619	0.0360657
-0.16	-5218.77	-0.980733	2404.65	0.258985	0.0360735
-0.17	-5244.51	-0.980931	2405.62	0.254846	0.0355473
-0.18	-5273.8	-0.981424	2408.04	0.245591	0.0342356
-0.19	-5298.89	-0.981484	2408.34	0.25671	0.035242
-0.2	-5331.27	-0.982411	2412.88	0.232432	0.0302886
-0.21	-5359.93	-0.98262	2413.9	0.188365	0.026525
-0.22	-5385.78	-0.982976	2415.66	0.241503	0.0318821
-0.23	-5410.44	-0.983086	2416.19	0.230054	0.0290883
-0.24	-5434.58	-0.982966	2415.6	0.232129	0.0296926
-0.25	-5456.75	-0.982786	2414.72	0.253192	0.0305675
-0.26	-5490.78	-0.983781	2419.61	0.21385	0.0264192
-0.27	-5518.43	-0.984108	2421.21	0.215411	0.0267512
-0.28	-5546.1	-0.984491	2423.1	0.200261	0.0241761
-0.29	-5571.17	-0.984503	2423.16	0.221648	0.0266793
-0.3	-5598.95	-0.984864	2424.93	0.208134	0.0246742
-0.31	-5628.89	-0.985401	2427.57	0.179813	0.0215119
-0.32	-5654.09	-0.985481	2427.97	0.200964	0.0234865
-0.33	-5678.06	-0.985419	2427.67	0.21026	0.024126
-0.34	-5707.13	-0.985897	2430.02	0.196635	0.0221487
-0.35	-5734.33	-0.986136	2431.2	0.186452	0.0215165
-0.36	-5760.36	-0.986305	2432.03	0.19481	0.0219322
-0.37	-5787.15	-0.98654	2433.19	0.191558	0.021
-0.38	-5813.86	-0.986763	2434.29	0.195642	0.0210725
-0.39	-5839.89	-0.986955	2435.24	0.188762	0.020294
-0.4	-5865.19	-0.986964	2435.28	0.178041	0.019204
-0.41	-5888.27	-0.986806	2434.5	0.184825	0.0197826
-0.42	-5920.33	-0.987555	2438.19	0.171547	0.0179871
-0.43	-5944.54	-0.987506	2437.95	0.185328	0.0192663
-0.44	-5972.76	-0.987842	2439.61	0.178682	0.0188182
-0.45	-5998.46	-0.987946	2440.12	0.173449	0.0179316
-0.46	-6025.78	-0.988254	2441.64	0.161842	0.0165179
-0.47	-6052.82	-0.98845	2442.61	0.175182	0.0177801
-0.48	-6078.17	-0.988497	2442.84	0.160713	0.0161185
-0.49	-6113.75	-0.989558	2448.09	0.159559	0.0164052
-0.5	-6130.92	-0.988871	2444.69	0.162591	0.0162369
-0.51	-6157.78	-0.989047	2445.56	0.162063	0.0158167
-0.52	-6186.77	-0.989472	2447.66	0.156996	0.0151395
-0.53	-6211.29	-0.989448	2447.55	0.163061	0.0159575
