uB	E	M	M2	C	X
-1	-7431.77	-0.994412	2472.15	0.108009	0.00789336
-0.99	-7408.24	-0.994535	2472.76	0.0917484	0.00647596
-0.98	-7382.25	-0.994423	2472.2	0.1016	0.00748351
-0.97	-7355.75	-0.994274	2471.46	0.108988	0.00819138
-0.96	-7330.68	-0.994271	2471.45	0.106307	0.00787724
-0.95	-7304.75	-0.994178	2470.99	0.103236	0.00769669
-0.94	-7278.79	-0.994083	2470.51	0.103973	0.0078028
-0.93	-7251.71	-0.993881	2469.51	0.106636	0.00809777
-0.92	-7227.51	-0.993948	2469.84	0.101164	0.0076423
-0.91	-7200.44	-0.993762	2468.92	0.113854	0.00865271
-0.9	-7174.35	-0.993654	2468.38	0.114292	0.00875817
-0.89	-7150.91	-0.993746	2468.84	0.117972	0.00933914
-0.88	-7127.1	-0.993883	2469.52	0.0768767	0.0054117
-0.87	-7097.8	-0.993474	2467.49	0.114083	0.00886891
-0.86	-7072.15	-0.993402	2467.13	0.11596	0.00909407
-0.85	-7045.49	-0.993243	2466.35	0.112993	0.0088944
-0.84	-7020.49	-0.993236	2466.31	0.115949	0.00918459
-0.83	-6993.21	-0.993026	2465.27	0.119286	0.00951066
-0.82	-6966.82	-0.992883	2464.56	0.119117	0.00956948
-0.81	-6942.27	-0.992903	2464.65	0.119087	0.00958476
-0.8	-6916.94	-0.992856	2464.43	0.123468	0.0100526
-0.79	-6891.68	-0.992811	2464.2	0.11617	0.00964059
-0.78	-6863.5	-0.992523	2462.77	0.130121	0.01065
-0.77	-6836.56	-0.992319	2461.76	0.136833	0.0114438
-0.76	-6812.17	-0.992368	2462	0.124202	0.0103305
-0.75	-6784.76	-0.992122	2460.79	0.131551	0.0110666
-0.74	-6761.12	-0.992234	2461.34	0.12813	0.0107302
-0.73	-6730.54	-0.991737	2458.88	0.134492	0.011457
-0.72	-6707.1	-0.991839	2459.38	0.134191	0.0113143
-0.71	-6681.99	-0.991822	2459.29	0.139248	0.0118678
-0.7	-6652.02	-0.99134	2456.91	0.14554	0.0124535
-0.69	-6629.88	-0.99157	2458.05	0.13537	0.0118551
-0.68	-6604.4	-0.991505	2457.73	0.137286	0.0120614
-0.67	-6580.07	-0.991538	2457.89	0.137122	0.0121006
-0.66	-6548.88	-0.990957	2455.02	0.153774	0.0143277
-0.65	-6523.07	-0.990885	2454.65	0.126642	0.0113706
-0.64	-6498.89	-0.990904	2454.75	0.137922	0.0124815
-0.63	-6472.16	-0.990733	2453.9	0.147361	0.0132734
-0.62	-6445.16	-0.990521	2452.85	0.144367	0.0131557
-0.61	-6420.9	-0.990547	2452.98	0.150761	0.0140441
-0.6	-6392.87	-0.990271	2451.61	0.153197	0.0141256
-0.59	-6369.12	-0.990347	2451.99	0.154635	0.0144205
-0.58	-6342.77	-0.99019	2451.21	0.150873	0.0141142
-0.57	-6314.72	-0.989862	2449.59	0.152183	0.0145508
-0.56	-6290.49	-0.989918	2449.87	0.150859	0.0145836
-0.55	-6263.84	-0.989738	2448.98	0.173795	0.0167651
-0.54	-6239.99	-0.989815	2449.36	0.175776	0.016824
-0.53	-6211.36	-0.989454	2447.57	0.160033	0.0155289
-0.52	-6186.18	-0.989426	2447.43	0.142574	0.0139278
-0.51	-6158.87	-0.989146	2446.05	0.157309	0.0153526
-0.5	-6134.07	-0.989143	2446.03	0.153974	0.0152889
-0.49	-6105.05	-0.988729	2443.99	0.179582	0.0179214
-0.48	-6078.53	-0.988539	2443.05	0.161622	0.0164629
-0.47	-6054.54	-0.988591	2443.31	0.171266	0.0174069
-0.46	-6024.01	-0.988025	2440.51	0.175279	0.018073
-0.45	-5998.65	-0.987979	2440.29	0.191235	0.020082
-0.44	-5965.89	-0.987065	2435.77	0.17668	0.0162017
-0.43	-5944.97	-0.987543	2438.14	0.174139	0.0183505
-0.42	-5919.46	-0.987451	2437.68	0.184869	0.0195164
-0.41	-5890.94	-0.987045	2435.68	0.20049	0.0217117
-0.4	-5866.82	-0.987102	2435.96	0.200064	0.0216289
-0.39	-5840.07	-0.986914	2435.03	0.187085	0.0199964
-0.38	-5856.25	-0.990872	2454.57	0.0357013	0.00479354
-0.37	-5787.31	-0.986494	2432.96	0.194914	0.021974
-0.36	-5788.5	-0.989235	2446.47	0.0178573	0.00231798
-0.35	-5727.34	-0.985432	2427.73	0.201435	0.0229272
-0.34	-5706.89	-0.985825	2429.66	0.19878	0.0227826
-0.33	-5684.26	-0.98602	2430.62	0.181472	0.0202121
-0.32	-5653.95	-0.985478	2427.96	0.200091	0.0232048
-0.31	-5624.27	-0.98491	2425.16	0.209248	0.0248161
-0.3	-5598.49	-0.984785	2424.54	0.21117	0.0251722
-0.29	-5571.33	-0.984525	2423.26	0.208339	0.0248382
-0.28	-5544.97	-0.984318	2422.25	0.217171	0.0261719
-0.27	-5518.31	-0.984084	2421.1	0.215657	0.0263709
-0.26	-5494.13	-0.984116	2421.26	0.216511	0.0266277
-0.25	-5465.15	-0.983646	2418.95	0.23013	0.0289381
-0.24	-5438.49	-0.983435	2417.91	0.217909	0.0275495
-0.23	-5410.96	-0.983094	2416.23	0.222335	0.0287003
-0.22	-5382.21	-0.982606	2413.84	0.224871	0.0289729
-0.21	-5353.76	-0.982138	2411.54	0.247273	0.0327114
-0.2	-5328.45	-0.982053	2411.12	0.234874	0.0317562
-0.19	-5299.79	-0.981614	2408.97	0.238966	0.0317624
-0.18	-5275.22	-0.981617	2408.98	0.237952	0.032089
-0.17	-5244.95	-0.980925	2405.6	0.270159	0.0383987
-0.16	-5219.58	-0.980909	2405.52	0.256535	0.0352814
-0.15	-5191.25	-0.980371	2402.88	0.25221	0.0360896
-0.14	-5165.6	-0.980242	2402.25	0.256833	0.0369134
