uB	E	M	M2	C	X
1	-22500	1	2500	0	0
0.99	-22475	1	2500	0	0
0.98	-22450	1	2500	0	0
0.97	-22425	1	2500	0	0
0.96	-22400	1	2500	0	0
0.95	-22375	1	2500	0	0
0.94	-22350	1	2500	0	0
0.93	-22325	1	2500	0	0
0.92	-22300	1	2500	0	0
0.91	-22275	1	2500	0	0
0.9	-22250	1	2500	0	0
0.89	-22225	1	2500	0	0
0.88	-22200	1	2500	0	0
0.87	-22175	1	2500	0	0
0.86	-22150	1	2500	0	0
0.85	-22125	1	2500	0	0
0.84	-22100	1	2500	0	0
0.83	-22075	1	2500	0	0
0.82	-22050	1	2500	0	0
0.81	-22025	1	2500	0	0
0.8	-22000	1	2500	0	0
0.79	-21975	1	2500	0	0
0.78	-21950	1	2500	0	0
0.77	-21925	1	2500	0	0
0.76	-21900	1	2500	0	0
0.75	-21875	1	2500	0	0
0.74	-21850	1	2500	0	0
0.73	-21825	1	2500	0	0
0.72	-21800	1	2500	0	0
0.71	-21775	1	2500	0	0
0.7	-21750	1	2500	0	0
0.69	-21725	1	2500	0	0
0.68	-21700	1	2500	0	0
0.67	-21675	1	2500	0	0
0.66	-21650	1	2500	0	0
0.65	-21625	1	2500	0	0
0.64	-21600	1	2500	0	0
0.63	-21575	1	2500	0	0
0.62	-21550	1	2500	0	0
0.61	-21525	1	2500	0	0
0.6	-21500	1	2500	0	0
0.59	-21475	1	2500	0	0
0.58	-21450	1	2500	0	0
0.57	-21425	1	2500	0	0
0.56	-21400	1	2500	0	0
0.55	-21375	1	2500	0	0
0.54	-21350	1	2500	0	0
0.53	-21325	1	2500	0	0
0.52	-21300	0.999999	2500	3.70774e-05	1.81473e-06
0.51	-21273.2	0.999837	2499.19	0.00527485	0.000259332
0.5	-21247.8	0.999803	2499.02	0.00610459	0.000301462
0.49	-21222.5	0.999775	2498.87	0.0122999	0.000610111
0.48	-21195.1	0.999549	2497.75	0.0169412	0.000918451
0.47	-21170	0.999551	2497.76	0.0145289	0.000766514
0.46	-21147.8	0.999803	2499.02	0.0070757	0.000355715
0.45	-21120.4	0.999586	2497.93	0.0184585	0.000932124
0.44	-21100	1	2500	0	0
0.43	-21075	1	2500	0	0
0.42	-21050	1	2500	0	0
0.41	-21021.6	0.999694	2498.47	0.0107897	0.00055478
0.4	-20995.3	0.999557	2497.79	0.0193008	0.00110314
0.39	-20975	1	2500	0	0
0.38	-20946.4	0.99967	2498.35	0.00865187	0.000454745
