1/beta	E	M	C	X
1	-4992.85	0.999267	0.998534	0.0199302	0.00137172
1.001	-4993.43	0.999333	0.998668	0.0212262	0.00140156
1.002	-4992.43	0.999232	0.998465	0.0255225	0.0016752
1.00301	-4992.69	0.999264	0.998529	0.0209441	0.00133692
1.00402	-4992.84	0.999273	0.998547	0.0257206	0.00171625
1.00503	-4993.79	0.999376	0.998753	0.0156913	0.000997847
1.00604	-4993.91	0.999386	0.998772	0.0244587	0.00157785
1.00705	-4992.75	0.999262	0.998525	0.0206132	0.00137344
1.00806	-4992.56	0.999235	0.998471	0.0229775	0.0016144
1.00908	-4992.8	0.999268	0.998536	0.0190477	0.00126585
1.0101	-4994.65	0.999444	0.998889	0.0174524	0.00125758
1.01112	-4992.29	0.999214	0.998428	0.0254445	0.00171786
1.01215	-4992.16	0.999207	0.998415	0.0270674	0.00176348
1.01317	-4994.3	0.99943	0.998862	0.0199791	0.00126514
1.0142	-4992.61	0.999249	0.9985	0.0208535	0.00138969
1.01523	-4994.72	0.999462	0.998924	0.0197903	0.00134487
1.01626	-4992.83	0.999262	0.998526	0.0186069	0.00129321
1.01729	-4991.52	0.999138	0.998278	0.0264902	0.00177482
1.01833	-4990.83	0.999065	0.998132	0.0306137	0.0020673
1.01937	-4990.74	0.999056	0.998114	0.0245772	0.00166932
1.02041	-4990.8	0.999059	0.998121	0.0346067	0.00237815
1.02145	-4991.81	0.999162	0.998325	0.0256363	0.00177427
1.02249	-4995.18	0.999518	0.999036	0.0234203	0.0014967
1.02354	-4992.19	0.999208	0.998417	0.0284849	0.00188364
1.02459	-4990.68	0.99904	0.998082	0.0295023	0.00217539
1.02564	-4989.86	0.998963	0.997928	0.0241143	0.00167889
1.02669	-4990.46	0.999026	0.998054	0.0291112	0.00199504
1.02775	-4990.68	0.999045	0.998093	0.0294913	0.002092
1.02881	-4990.83	0.999066	0.998133	0.0275243	0.00188133
1.02987	-4990.49	0.999031	0.998063	0.0255807	0.00175042
1.03093	-4990.38	0.999013	0.998027	0.0263726	0.00186261
1.03199	-4991.25	0.999112	0.998227	0.0271203	0.00186859
1.03306	-4990.26	0.999003	0.998008	0.0291905	0.00204209
1.03413	-4990.77	0.999054	0.99811	0.0287041	0.00203831
1.0352	-4991.66	0.999143	0.998287	0.0286164	0.00199683
1.03627	-4991.06	0.99908	0.998161	0.0276523	0.00198235
1.03734	-4988.84	0.998841	0.997684	0.0331925	0.00238936
1.03842	-4990.28	0.999005	0.998011	0.0290394	0.00205986
1.0395	-4992.12	0.999175	0.998351	0.0267527	0.00208617
1.04058	-4991.54	0.999118	0.998238	0.0293399	0.00218171
1.04167	-4990.53	0.999018	0.998037	0.0254198	0.00191531
1.04275	-4994.22	0.999412	0.998825	0.0189214	0.00135288
1.04384	-4989.72	0.998947	0.997896	0.0338752	0.00241553
1.04493	-5000	1	1	0	0
1.04603	-4991.81	0.999169	0.998339	0.0231722	0.00159988
1.04712	-4989.35	0.998913	0.997829	0.0315146	0.00221137
1.04822	-4989.83	0.998961	0.997925	0.0311089	0.00219188
1.04932	-4987.35	0.998696	0.997395	0.0367646	0.00258677
1.05042	-4988.68	0.998835	0.997672	0.0334148	0.00241012
1.05152	-4986.11	0.998596	0.997195	0.0419875	0.00294583
1.05263	-4988.86	0.998861	0.997725	0.0343181	0.00244715
1.05374	-4989.34	0.998914	0.997831	0.0304726	0.00211588
1.05485	-4988.25	0.998791	0.997585	0.0331077	0.00235418
1.05597	-4988.57	0.99883	0.997662	0.0342901	0.00245563
1.05708	-4990.48	0.999029	0.998059	0.0338748	0.00242705
1.0582	-4987.83	0.998746	0.997495	0.0357701	0.00259344
1.05932	-4989.56	0.998943	0.997888	0.0246997	0.00166109
1.06045	-4987.81	0.998754	0.99751	0.0358381	0.00256609
1.06157	-4988.1	0.998777	0.997557	0.0359444	0.00263153
1.0627	-4989.62	0.998945	0.997891	0.0266276	0.00189075
1.06383	-4987.98	0.998771	0.997545	0.0340916	0.00246188
1.06496	-4988.65	0.998842	0.997686	0.0349743	0.00248021
1.0661	-4987.43	0.998711	0.997424	0.0365707	0.00267202
1.06724	-4989.87	0.998966	0.997933	0.025674	0.00183442
1.06838	-4986.8	0.998638	0.997279	0.0364545	0.00279988
1.06952	-4987.31	0.998696	0.997394	0.0341873	0.00251272
1.07066	-4988.43	0.998813	0.997629	0.0338115	0.00247227
1.07181	-4988.22	0.998792	0.997587	0.0322785	0.00235568
1.07296	-4986.69	0.998627	0.997258	0.0416129	0.00310168
1.07411	-4986.75	0.998646	0.997294	0.0365811	0.00265686
1.07527	-4987.3	0.998696	0.997394	0.0364039	0.00269899
1.07643	-4987.57	0.998723	0.997448	0.0314639	0.00230452
1.07759	-4986.39	0.998599	0.997202	0.030758	0.00231808
1.07875	-4987.69	0.998744	0.997491	0.031563	0.00227906
1.07991	-4982.13	0.998165	0.996335	0.0272645	0.00195422
1.08108	-4985.64	0.998523	0.99705	0.0398953	0.00297302
1.08225	-4986.69	0.99863	0.997262	0.0390328	0.00292533
1.08342	-4986.11	0.99857	0.997144	0.0403838	0.00299157
1.0846	-4985.49	0.998504	0.997012	0.0405528	0.00311918
1.08578	-4986.89	0.998641	0.997285	0.0320754	0.00257155
1.08696	-4986.74	0.998634	0.997271	0.0379368	0.00290363
1.08814	-4985.63	0.998525	0.997053	0.0404519	0.00303511
1.08932	-4986.13	0.998575	0.997153	0.0403022	0.00304416
1.09051	-4985.49	0.998484	0.996972	0.0386772	0.00323829
1.0917	-4985.37	0.998489	0.996982	0.0391986	0.00299411
1.0929	-4986.22	0.998586	0.997175	0.0348195	0.00258188
1.09409	-4984.62	0.998399	0.996801	0.0451123	0.00359402
1.09529	-4985.12	0.998442	0.996887	0.0402198	0.00327803
1.09649	-4984.44	0.998391	0.996786	0.0484617	0.00379937
1.09769	-4985.95	0.998538	0.99708	0.0292537	0.00236839
1.0989	-4985.44	0.998484	0.996971	0.0495351	0.00403661
1.10011	-4985.16	0.998474	0.996951	0.0411741	0.00313038
1.10132	-4985.33	0.998487	0.996978	0.0415173	0.00317328
1.10254	-4983.67	0.99831	0.996625	0.0428422	0.00333884
1.10375	-4984.25	0.998375	0.996755	0.0430592	0.00335466
1.10497	-4985.18	0.998473	0.99695	0.0369371	0.00279388
1.10619	-4983.63	0.998305	0.996614	0.0434146	0.00338125
1.10742	-4984.56	0.99841	0.996824	0.0429209	0.00329042
1.10865	-4984.74	0.998438	0.996879	0.0407972	0.00304704
1.10988	-4984.43	0.998402	0.996808	0.0433935	0.00326695
1.11111	-4986.35	0.998613	0.997228	0.0304952	0.00219316
1.11235	-4983.22	0.998262	0.996528	0.0429946	0.00337981
1.11359	-4981.5	0.998101	0.996208	0.0506167	0.00412494
1.11483	-4983.83	0.998334	0.996673	0.0418626	0.00326291
1.11607	-4984.14	0.998338	0.996681	0.0408426	0.00344555
1.11732	-4982.3	0.998178	0.996361	0.0466426	0.00358446
1.11857	-4983.05	0.998246	0.996496	0.0409451	0.00325179
1.11982	-4982.34	0.998153	0.996311	0.0472721	0.00394537
1.12108	-4983.25	0.998277	0.996558	0.0430787	0.00331514
1.12233	-4982.88	0.998238	0.99648	0.0424161	0.00334182
1.1236	-4981.79	0.998116	0.996236	0.0510711	0.00406143
1.12486	-4982.59	0.998208	0.99642	0.0437267	0.00342556
1.12613	-4982.29	0.998174	0.996352	0.046927	0.00367773
1.1274	-4984.18	0.99838	0.996763	0.0408048	0.00307809
1.12867	-4982.8	0.998232	0.996469	0.0500814	0.00394897
1.12994	-4979.94	0.997912	0.99583	0.051012	0.00428062
1.13122	-4981.78	0.998117	0.996239	0.049202	0.00392313
1.1325	-4982.64	0.998166	0.996338	0.0416831	0.00366115
1.13379	-4984.1	0.998376	0.996755	0.0382126	0.00298216
