1/beta	E	M	C	X
1	-798.525	0.999023	0.998054	0.0331078	0.00247705
1.0101	-798.992	0.99937	0.998743	0.0204068	0.00128831
1.02041	-799.131	0.999437	0.998877	0.0161425	0.00115904
1.03093	-798.737	0.999196	0.998398	0.023674	0.00161492
1.04167	-798.703	0.999155	0.998314	0.0222563	0.00166033
1.05263	-798.484	0.99902	0.998047	0.0275891	0.00200585
1.06383	-797.872	0.998607	0.997225	0.0390623	0.00294988
1.07527	-798.283	0.99889	0.997787	0.0292515	0.00218307
1.08696	-797.88	0.998632	0.997273	0.0352614	0.00264928
1.0989	-797.737	0.998545	0.997101	0.0384596	0.00291286
1.11111	-798.416	0.998985	0.997977	0.0294775	0.00219591
1.1236	-797.709	0.998523	0.997058	0.0400515	0.00316241
1.13636	-796.529	0.99778	0.995578	0.0598584	0.004581
1.14943	-796.861	0.997978	0.995972	0.0490836	0.00392519
1.16279	-796.17	0.99747	0.994961	0.0589948	0.00533177
1.17647	-796.083	0.997484	0.994989	0.0612882	0.00495135
1.19048	-795.542	0.997068	0.994162	0.0670034	0.00610318
1.20482	-795.154	0.996874	0.993776	0.0689013	0.00576723
1.21951	-795.201	0.996918	0.993862	0.0683088	0.00572239
1.23457	-794.404	0.996325	0.992687	0.0799539	0.00732794
1.25	-793.809	0.995935	0.991911	0.0848615	0.0078934
1.26582	-793.541	0.995768	0.991579	0.0879318	0.00826114
1.28205	-793.357	0.995682	0.991409	0.0889217	0.00814002
1.2987	-792.322	0.994831	0.989729	0.0996809	0.012364
1.31579	-791.157	0.994113	0.988301	0.12172	0.0124594
1.33333	-791.349	0.994241	0.988553	0.112298	0.0116133
1.35135	-789.826	0.993225	0.98654	0.123181	0.0130148
1.36986	-787.352	0.991509	0.983149	0.151511	0.016956
1.38889	-787.725	0.991685	0.983497	0.142743	0.0166694
1.40845	-786.919	0.991117	0.982373	0.142699	0.0171705
1.42857	-786.417	0.990835	0.981811	0.132188	0.0156091
1.44928	-784.907	0.989726	0.97963	0.158392	0.0203612
1.47059	-782.01	0.987591	0.975428	0.193641	0.0248738
1.49254	-781.498	0.987263	0.974782	0.185354	0.0249607
1.51515	-782.94	0.988568	0.977332	0.144345	0.0170987
1.53846	-776.8	0.983782	0.967954	0.223525	0.0327118
1.5625	-775.35	0.982764	0.96596	0.234046	0.0347395
1.5873	-772.941	0.980885	0.962332	0.294856	0.0492736
1.6129	-769.376	0.978053	0.956792	0.279505	0.0508811
1.63934	-766.696	0.976085	0.95295	0.285491	0.0506016
1.66667	-763.556	0.973842	0.948584	0.307244	0.0519412
1.69492	-761.008	0.971416	0.943947	0.3389	0.0704805
1.72414	-754.62	0.965787	0.933108	0.392415	0.084316
1.75439	-751.767	0.964047	0.929753	0.384899	0.0835152
1.78571	-746.443	0.959202	0.920512	0.418596	0.0992803
1.81818	-740.505	0.953742	0.910235	0.457472	0.134736
1.85185	-734.019	0.948103	0.89958	0.494537	0.146978
1.88679	-727.814	0.942623	0.889284	0.494139	0.158382
1.92308	-718.227	0.935415	0.875663	0.486145	0.137552
1.96078	-708.746	0.922659	0.85273	0.663072	0.291895
2	-697.95	0.911543	0.83261	0.712315	0.339931
2.04082	-686.25	0.898438	0.809472	0.788639	0.447154
2.08333	-668.654	0.865701	0.762832	1.06422	2.57168
2.12766	-654.417	0.854891	0.736372	0.981763	1.04026
2.17391	-634.471	0.822268	0.684142	1.20262	1.47533
2.22222	-606.13	0.762619	0.603922	1.42557	4.02022
2.27273	-564.835	0.686848	0.481924	1.05531	1.78871
2.32558	-536.747	0.113239	0.37383	1.68057	62.0931
2.38095	-508.913	0.218783	0.295397	1.47575	41.5852
2.43902	-472.65	-0.220142	0.19775	1.08428	24.4831
2.5	-445.505	-0.0351708	0.13377	1.00493	21.2053
2.5641	-428.002	0.00697804	0.119744	0.823993	18.6725
2.63158	-402.331	0.0433472	0.0670796	0.664788	9.9105
2.7027	-384.946	-0.00925334	0.0618805	0.606258	9.14565
2.77778	-368.558	-0.0259063	0.0479108	0.53694	6.80251
2.85714	-352.193	-0.000737199	0.0415737	0.503552	5.82025
2.94118	-336.981	0.003866	0.0316645	0.427276	4.30435
3.0303	-322.85	0.00283526	0.0295213	0.397122	3.89575
3.125	-307.998	0.0019593	0.0226294	0.339435	2.89607
3.22581	-295.007	0.00330321	0.0206925	0.315933	2.56452
3.33333	-281.932	0.00756765	0.0187139	0.285516	2.23879
3.44828	-269.162	0.00321623	0.0161251	0.261696	1.86931
3.57143	-257.007	0.000881442	0.0148238	0.237545	1.66018
3.7037	-250.266	-0.0170525	0.0125494	0.199141	1.32393
3.84615	-236.758	0.000545382	0.0132554	0.190922	1.37853
4	-224.263	0.0222628	0.00947804	0.168696	0.898241
4.16667	-212.228	0.00860928	0.0099112	0.155686	0.94436
4.34783	-201.395	-0.00667317	0.0089141	0.139929	0.816001
4.54545	-190.671	0.00314066	0.00809264	0.124138	0.711285
4.7619	-175.817	0.0120049	0.00700228	0.0967135	0.576085
5	-169.465	-0.0170117	0.00731615	0.105845	0.56214
5.26316	-161.59	0.000398621	0.00660799	0.0881373	0.502195
5.55556	-153.145	0.000803288	0.00627589	0.0769215	0.451818
5.88235	-142.473	0.000342762	0.00622826	0.0667804	0.423514
6.25	-132.851	0.000427051	0.00537088	0.0570559	0.343725
6.66667	-124.639	0.000861973	0.00514924	0.0500486	0.30891
7.14286	-118.602	0.000638006	0.00449937	0.0457115	0.251942
7.69231	-106.895	-0.00288464	0.00469397	0.0354306	0.243654
8.33333	-97.8628	0.00100474	0.00436833	0.0309882	0.209632
9.09091	-89.1756	0.000710851	0.00410544	0.0255814	0.180617
10	-81.4386	0.0027629	0.0040458	0.0200785	0.161527
11.1111	-73.7974	0.00215046	0.00364756	0.0169101	0.131146
12.5	-65.7056	-0.00199392	0.00367216	0.013526	0.117382
14.2857	-56.3475	0.00031646	0.00337473	0.00997004	0.0944896
16.6667	-48.5524	0.000986268	0.00318103	0.00731253	0.0763213
20	-41.4805	0.00120443	0.00306998	0.0050342	0.0613706
25	-31.8639	0.000813507	0.00295234	0.00326175	0.0472269
33.3333	-24.4023	2.47074e-05	0.00280975	0.00183032	0.033717
50	-15.7821	0.000659189	0.00270072	0.00080505	0.0216023
100	-8.12702	-0.000263574	0.00264304	0.000201978	0.0105719
