1	1	2.06501e-014
0.99	1	2.06501e-014
0.98	1	2.06501e-014
0.97	1	2.06501e-014
0.96	1	2.06501e-014
0.95	1	2.06501e-014
0.94	1	2.06501e-014
0.93	1	2.06501e-014
0.92	1	2.06501e-014
0.91	1	2.06501e-014
0.9	1	2.06501e-014
0.89	1	2.06501e-014
0.88	1	2.06501e-014
0.87	1	2.06501e-014
0.86	1	2.06501e-014
0.85	0.995	0.009975
0.84	1	2.06501e-014
0.83	1	2.06501e-014
0.82	1	2.06501e-014
0.81	1	2.06501e-014
0.8	1	2.06501e-014
0.79	1	2.06501e-014
0.78	1	2.06501e-014
0.77	1	2.06501e-014
0.76	1	2.06501e-014
0.75	1	2.06501e-014
0.74	1	2.06501e-014
0.73	1	2.06501e-014
0.72	1	2.06501e-014
0.71	1	2.06501e-014
0.7	1	2.06501e-014
0.69	1	2.06501e-014
0.68	1	2.06501e-014
0.67	1	2.06501e-014
0.66	1	2.06501e-014
0.65	1	2.06501e-014
0.64	1	2.06501e-014
0.63	1	2.06501e-014
0.62	1	2.06501e-014
0.61	1	2.06501e-014
0.6	1	2.06501e-014
0.59	1	2.06501e-014
0.58	1	2.06501e-014
0.57	0.99	0.0199
0.56	0.99	0.0199
0.55	0.99	0.0199
0.54	0.995	0.009975
0.53	0.995	0.009975
0.52	1	2.06501e-014
0.51	1	2.06501e-014
0.5	0.99	0.0199
0.49	0.985	0.029775
0.48	0.985	0.029775
0.47	0.985	0.029775
0.46	0.99	0.0199
0.45	0.98	0.0396
0.44	0.98	0.0396
0.43	0.99	0.0199
0.42	0.97	0.0591
0.41	0.995	0.009975
0.4	0.945	0.106975
0.39	0.95	0.0975
0.38	0.94	0.1164
0.37	0.93	0.1351
