1/beta	E	M	C	X
0.5	-2475	9.02268e+07	8.14089e+15	0	0
0.501253	-2475	9.02268e+07	8.14089e+15	0	0
0.502513	-2475	9.02268e+07	8.14089e+15	0	0
0.503778	-2475	9.02268e+07	8.14089e+15	0	0
0.505051	-2475	9.02268e+07	8.14089e+15	0	0
0.506329	-2475	9.02268e+07	8.14089e+15	0	0
0.507614	-2475	9.02268e+07	8.14089e+15	0	0
0.508906	-2475	9.02268e+07	8.14089e+15	0	0
0.510204	-2475	9.02268e+07	8.14089e+15	0	0
0.511509	-2475	9.02268e+07	8.14089e+15	0	0
0.512821	-2475	9.02268e+07	8.14089e+15	0	0
0.514139	-2475	9.02268e+07	8.14089e+15	0	0
0.515464	-2475	9.02268e+07	8.14089e+15	0	0
0.516796	-2475	9.02268e+07	8.14089e+15	0	0
0.518135	-2475	9.02268e+07	8.14089e+15	0	0
0.519481	-2475	9.02268e+07	8.14089e+15	0	0
0.520833	-2475	9.02268e+07	8.14089e+15	0	0
0.522193	-2475	9.02268e+07	8.14089e+15	0	0
0.52356	-2475	9.02268e+07	8.14089e+15	0	0
0.524934	-2475	9.02268e+07	8.14089e+15	0	0
0.526316	-2475	9.02268e+07	8.14089e+15	0	0
0.527704	-2475	9.02268e+07	8.14089e+15	0	0
0.529101	-2475	9.02268e+07	8.14089e+15	0	0
0.530504	-2475	9.02268e+07	8.14089e+15	0	0
0.531915	-2475	9.02268e+07	8.14089e+15	0	0
0.533333	-2475	9.02268e+07	8.14089e+15	0	0
0.534759	-2475	9.02268e+07	8.14089e+15	0	0
0.536193	-2475	9.02268e+07	8.14089e+15	0	0
0.537634	-2475	9.02268e+07	8.14089e+15	0	0
0.539084	-2475	9.02268e+07	8.14089e+15	0	0
0.540541	-2475	9.02268e+07	8.14089e+15	0	0
0.542005	-2475	9.02268e+07	8.14089e+15	0	0
0.543478	-2475	9.02268e+07	8.14089e+15	0	0
0.544959	-2475	9.02268e+07	8.14089e+15	0	0
0.546448	-2475	9.02268e+07	8.14089e+15	0	0
0.547945	-2475	9.02268e+07	8.14089e+15	0	0
0.549451	-2475	9.02268e+07	8.14089e+15	0	0
0.550964	-2475	9.02268e+07	8.14089e+15	0	0
0.552486	-2475	9.02268e+07	8.14089e+15	0	0
0.554017	-2475	9.02268e+07	8.14089e+15	0	0
0.555556	-2475	9.02268e+07	8.14089e+15	0	0
0.557103	-2475	9.02268e+07	8.14089e+15	0	0
0.558659	-2475	9.02268e+07	8.14089e+15	0	0
0.560224	-2475	9.02268e+07	8.14089e+15	0	0
0.561798	-2475	9.02268e+07	8.14089e+15	0	0
0.56338	-2475	9.02268e+07	8.14089e+15	0	0
0.564972	-2475	9.02268e+07	8.14089e+15	0	0
0.566572	-2475	9.02268e+07	8.14089e+15	0	0
0.568182	-2475	9.02268e+07	8.14089e+15	0	0
0.569801	-2475	9.02268e+07	8.14089e+15	0	0
0.571429	-2475	9.02268e+07	8.14089e+15	0	0
0.573066	-2475	9.02268e+07	8.14089e+15	0	0
0.574713	-2475	9.02268e+07	8.14089e+15	0	0
0.576369	-2475	9.02268e+07	8.14089e+15	0	0
0.578035	-2475	9.02268e+07	8.14089e+15	0	0
0.57971	-2475	9.02268e+07	8.14089e+15	0	0
0.581395	-2475	9.02268e+07	8.14089e+15	0	0
0.58309	-2475	9.02268e+07	8.14089e+15	0	0
0.584795	-2475	9.02268e+07	8.14089e+15	0	0
0.58651	-2475	9.02268e+07	8.14089e+15	0	0
0.588235	-2475	9.02268e+07	8.14089e+15	0	0
0.589971	-2475	9.02268e+07	8.14089e+15	0	0
0.591716	-2475	9.02268e+07	8.14089e+15	0	0
0.593472	-2475	9.02268e+07	8.14089e+15	0	0
0.595238	-2475	9.02268e+07	8.14089e+15	0	0
0.597015	-2475	9.02268e+07	8.14089e+15	0	0
0.598802	-2475	9.02268e+07	8.14089e+15	0	0
0.600601	-2475	9.02268e+07	8.14089e+15	0	0
0.60241	-2475	9.02268e+07	8.14089e+15	0	0
0.60423	-2475	9.02268e+07	8.14089e+15	0	0
0.606061	-2475	9.02268e+07	8.14089e+15	0	0
0.607903	-2475	9.02268e+07	8.14089e+15	0	0
0.609756	-2475	9.02268e+07	8.14089e+15	0	0
0.611621	-2475	9.02268e+07	8.14089e+15	0	0
0.613497	-2475	9.02268e+07	8.14089e+15	0	0
0.615385	-2475	9.02268e+07	8.14089e+15	0	0
0.617284	-2475	9.02268e+07	8.14089e+15	0	0
