1/beta	E	M	C	X
1	-7.99607	0.999693	0.999601	0.00785083	0.00085873
1.001	-8	1	1	0	0
1.002	-8	1	1	0	0
1.00301	-8	1	1	0	0
1.00402	-8	1	1	0	0
1.00503	-8	-1	1	0	0
1.00604	-8	1	1	0	0
1.00705	-8	-1	1	0	0
1.00806	-8	1	1	0	0
1.00908	-8	-1	1	0	0
1.0101	-8	1	1	0	0
1.01112	-8	-1	1	0	0
1.01215	-8	-1	1	0	0
1.01317	-8	-1	1	0	0
1.0142	-8	-1	1	0	0
1.01523	-8	-1	1	0	0
1.01626	-8	-1	1	0	0
1.01729	-8	-1	1	0	0
1.01833	-8	-1	1	0	0
1.01937	-8	-1	1	0	0
1.02041	-8	-1	1	0	0
1.02145	-8	1	1	0	0
1.02249	-8	-1	1	0	0
1.02354	-8	-1	1	0	0
1.02459	-8	-1	1	0	0
1.02564	-8	-1	1	0	0
1.02669	-8	-1	1	0	0
1.02775	-8	-1	1	0	0
1.02881	-8	-1	1	0	0
1.02987	-8	1	1	0	0
1.03093	-8	-1	1	0	0
1.03199	-8	1	1	0	0
1.03306	-8	1	1	0	0
1.03413	-8	1	1	0	0
1.0352	-8	1	1	0	0
1.03627	-8	1	1	0	0
1.03734	-8	1	1	0	0
1.03842	-8	1	1	0	0
1.0395	-8	1	1	0	0
1.04058	-8	1	1	0	0
1.04167	-8	1	1	0	0
1.04275	-8	-1	1	0	0
1.04384	-8	1	1	0	0
1.04493	-8	1	1	0	0
1.04603	-8	1	1	0	0
1.04712	-8	-1	1	0	0
1.04822	-8	1	1	0	0
1.04932	-8	-1	1	0	0
1.05042	-8	1	1	0	0
1.05152	-8	-1	1	0	0
1.05263	-8	1	1	0	0
1.05374	-8	-1	1	0	0
1.05485	-8	1	1	0	0
1.05597	-8	1	1	0	0
1.05708	-8	1	1	0	0
1.0582	-8	1	1	0	0
1.05932	-8	1	1	0	0
1.06045	-8	1	1	0	0
1.06157	-8	1	1	0	0
1.0627	-8	1	1	0	0
1.06383	-8	-1	1	0	0
1.06496	-8	1	1	0	0
1.0661	-8	-1	1	0	0
1.06724	-8	1	1	0	0
1.06838	-8	-1	1	0	0
1.06952	-8	1	1	0	0
