1/beta	E	M	C	X
1	-9784.86	0.999207	0.998415	0.0300006	0.00204595
1.00503	-9786.26	0.999272	0.998544	0.0256269	0.00182294
1.0101	-9785.47	0.99924	0.998481	0.0303712	0.00208371
1.01523	-9783.54	0.999138	0.998278	0.0251624	0.00176698
1.02041	-9783.78	0.999158	0.998317	0.0204604	0.00137253
1.02564	-9782.49	0.999084	0.998169	0.027004	0.00187131
1.03093	-9781.75	0.999069	0.998139	0.012852	0.000828092
1.03627	-9780.49	0.998982	0.997966	0.0325342	0.00230397
1.04167	-9780.16	0.998964	0.99793	0.0302764	0.00214942
1.04712	-9783.05	0.999134	0.998268	0.0154753	0.00102314
1.05263	-9778.3	0.998869	0.99774	0.033256	0.00236113
1.0582	-9777.1	0.998814	0.99763	0.039734	0.00272955
1.06383	-9778.92	0.998898	0.997797	0.0297977	0.00217761
1.06952	-9777.33	0.99881	0.997622	0.0334072	0.00245111
1.07527	-9774.38	0.998623	0.997249	0.0476974	0.00384139
1.08108	-9773.53	0.998612	0.997227	0.041615	0.00311074
1.08696	-9773.05	0.99859	0.997182	0.0385115	0.00284816
1.0929	-9769.72	0.998408	0.99682	0.0437669	0.0031851
1.0989	-9766.05	0.998195	0.996395	0.041575	0.00335292
1.10497	-9768.11	0.998321	0.996645	0.0488613	0.00378227
1.11111	-9768.32	0.998337	0.996678	0.0431238	0.00337189
1.11732	-9768.25	0.998333	0.99667	0.037708	0.00290505
1.1236	-9765.31	0.998175	0.996355	0.0452749	0.00358079
1.12994	-9754.14	0.997618	0.995243	0.0479556	0.0036793
1.13636	-9755.46	0.997601	0.995209	0.0431568	0.00339399
1.14286	-9761.47	0.997969	0.995943	0.048151	0.00385477
1.14943	-9760.44	0.997911	0.995828	0.0469002	0.00398259
1.15607	-9750.63	0.997396	0.9948	0.0642136	0.00525189
1.16279	-9755.68	0.99766	0.995327	0.0561909	0.00464657
1.16959	-9753.54	0.997531	0.995068	0.0618665	0.00530169
1.17647	-9751.77	0.997453	0.994914	0.0575176	0.00466205
1.18343	-9747.95	0.997235	0.994478	0.0681901	0.00589915
1.19048	-9748.84	0.997274	0.994557	0.0611102	0.00522501
1.1976	-9747.2	0.997186	0.994382	0.0691178	0.00615126
1.20482	-9744.68	0.99704	0.994091	0.0694339	0.00627368
1.21212	-9740.79	0.996829	0.99367	0.0664854	0.00604763
1.21951	-9737.74	0.996667	0.993348	0.0747109	0.00687021
1.22699	-9731.98	0.996359	0.992732	0.0896918	0.00824538
1.23457	-9731.26	0.996331	0.992677	0.0775285	0.00701041
1.24224	-9727.88	0.996142	0.992301	0.0829116	0.00765449
1.25	-9723.01	0.995874	0.991768	0.0799478	0.00744214
1.25786	-9725.7	0.995984	0.991985	0.0791954	0.00752508
1.26582	-9723.95	0.99591	0.991838	0.0785658	0.00763453
1.27389	-9717.95	0.995575	0.991172	0.0886534	0.00899159
1.28205	-9710.04	0.995146	0.990319	0.0946943	0.00917634
1.29032	-9706.23	0.994961	0.98995	0.101127	0.00977905
1.2987	-9709.53	0.99513	0.990286	0.0984452	0.00973596
1.30719	-9699.89	0.994597	0.989226	0.105345	0.0105804
1.31579	-9693.11	0.994189	0.988415	0.105672	0.0109163
1.3245	-9694.28	0.994229	0.988494	0.138147	0.014352
1.33333	-9687.91	0.993888	0.987817	0.108859	0.0119376
1.34228	-9681.06	0.993499	0.987044	0.124972	0.01384
1.35135	-9674.28	0.993158	0.986366	0.128274	0.0135524
1.36054	-9671.11	0.992962	0.985977	0.126642	0.0138969
1.36986	-9660.54	0.992319	0.984702	0.153141	0.0176551
1.37931	-9657.17	0.992158	0.984381	0.123183	0.0138335
1.38889	-9650.94	0.991813	0.983698	0.136715	0.01588
1.3986	-9654.69	0.992043	0.984154	0.123211	0.0137125
1.40845	-9636.95	0.990969	0.982024	0.148038	0.0184348
1.41844	-9633.52	0.990814	0.981717	0.146722	0.017362
1.42857	-9622.8	0.9902	0.980501	0.146157	0.0172583
1.43885	-9615.55	0.989774	0.979659	0.165203	0.0203447
1.44928	-9607.82	0.989324	0.978768	0.16371	0.0204891
1.45985	-9593.78	0.988435	0.977011	0.182148	0.0235427
1.47059	-9586.97	0.988024	0.9762	0.184845	0.0246527
1.48148	-9572.03	0.987122	0.974417	0.175684	0.0237407
1.49254	-9569.57	0.987042	0.97426	0.189041	0.0252133
1.50376	-9561.37	0.986594	0.973375	0.176966	0.0238295
1.51515	-9544.17	0.985505	0.97123	0.209804	0.0298203
1.52672	-9540.31	0.985375	0.970972	0.19123	0.0264086
1.53846	-9522.6	0.984221	0.968702	0.257924	0.0381123
1.55039	-9515.26	0.983841	0.967953	0.225456	0.0308171
1.5625	-9497.47	0.982689	0.965688	0.220849	0.0348735
1.5748	-9482.13	0.981742	0.963829	0.233323	0.0353384
1.5873	-9457.31	0.980004	0.960424	0.263784	0.0491101
1.6	-9451.47	0.979834	0.960089	0.254256	0.0422876
1.6129	-9432.49	0.978612	0.957695	0.263211	0.0447802
1.62602	-9411.47	0.977311	0.955154	0.290324	0.0503674
1.63934	-9392.18	0.975962	0.95252	0.288946	0.0530974
1.65289	-9374.18	0.975047	0.950733	0.301874	0.0502118
1.66667	-9360.1	0.974157	0.949	0.305983	0.0548583
1.68067	-9328.22	0.971898	0.944606	0.31662	0.0611762
1.69492	-9318.24	0.971339	0.943521	0.323293	0.060766
1.7094	-9299.12	0.97006	0.941038	0.304147	0.064247
1.72414	-9258.15	0.967173	0.935451	0.369026	0.0789658
1.73913	-9236.59	0.965691	0.93259	0.383587	0.086014
1.75439	-9198.75	0.962845	0.927111	0.462648	0.116628
1.76991	-9176.13	0.961442	0.924402	0.364355	0.0864917
1.78571	-9147.55	0.959508	0.920693	0.410488	0.102004
1.8018	-9103.21	0.956078	0.914128	0.427854	0.118914
1.81818	-9057.8	0.952693	0.907679	0.499755	0.148789
1.83486	-9021.7	0.950188	0.902916	0.489208	0.155252
1.85185	-8989.38	0.947834	0.898447	0.499746	0.153606
1.86916	-8966.21	0.946133	0.895209	0.396629	0.109468
1.88679	-8905.13	0.941301	0.886117	0.533834	0.179732
1.90476	-8838.56	0.936273	0.876682	0.556858	0.192092
1.92308	-8798.01	0.932368	0.869394	0.526741	0.214605
1.94175	-8740.45	0.92772	0.860764	0.611513	0.250262
1.96078	-8686.22	0.923273	0.852551	0.664844	0.295475
1.9802	-8624.82	0.917968	0.842791	0.674242	0.31157
2	-8557.54	0.911085	0.830213	0.661642	0.337536
2.0202	-8480.3	0.904764	0.818774	0.752969	0.427135
2.04082	-8407.7	0.897801	0.806252	0.80814	0.495842
2.06186	-8358.07	0.894824	0.800927	0.883883	0.514461
2.08333	-8260.3	0.883761	0.781326	0.967315	0.689243
2.10526	-8109.01	0.864682	0.748084	1.02341	0.950523
2.12766	-8022.41	0.855027	0.731544	1.05581	1.08854
2.15054	-7860.93	0.829666	0.689081	1.11393	1.67325
2.17391	-7759.28	0.820746	0.674416	1.27696	1.78677
2.1978	-7645.13	0.806269	0.650916	1.20318	1.88422
2.22222	-7458.68	0.752388	0.569594	2.06345	7.7309
2.24719	-7274.2	0.739839	0.549115	1.32403	3.8244
2.27273	-6952.74	0.616359	0.389415	1.8128	20.5181
2.29885	-6702.71	0.532981	0.292259	1.66537	17.4573
2.32558	-6428.25	0.0337111	0.160779	1.86867	336.366
2.35294	-6435.87	-0.516704	0.268272	1.19443	2.68436
2.38095	-5993.62	-0.0942572	0.0340886	1.16188	51.8702
2.40964	-5834.62	-0.0232066	0.0237528	0.931331	47.2063
2.43902	-5764.97	-0.138285	0.0198744	0.690114	1.51021
2.46914	-5557.93	0.00742708	0.0139264	0.889112	27.5275
2.5	-5408.86	0.00929651	0.0048057	0.813587	9.24978
2.53165	-5297.88	-0.0139892	0.00992511	0.865137	18.8313
2.5641	-5128.96	-0.00436544	0.00930805	0.695336	17.7513
2.5974	-5042.15	0.000466004	0.00656169	0.700875	12.3782
2.63158	-4947.87	0.010889	0.00660424	0.68452	12.0763
2.66667	-4833.7	0.0371261	0.0048693	0.701984	6.41462
2.7027	-4711.12	0.000469427	0.00505063	0.592737	9.1564
2.73973	-4617.28	-0.00758174	0.00541691	0.518969	9.58533
2.77778	-4512.23	0.00191958	0.0039122	0.534601	6.89462
2.8169	-4408.74	-0.00202652	0.00358937	0.488357	6.23657
2.85714	-4315.1	-0.00493772	0.00320319	0.493718	5.45165
2.89855	-4214.14	-0.00268756	0.0026691	0.452203	4.4999
2.94118	-4119.91	-0.00117151	0.00263477	0.43447	4.38724
2.98507	-4033.32	-0.00871145	0.00250265	0.427678	3.98352
3.0303	-3944.99	-0.00070385	0.00227042	0.399619	3.67047
3.07692	-3869.72	-0.00459098	0.00187666	0.363014	2.95502
3.125	-3772.63	-0.00276708	0.00190502	0.321021	2.97507
3.1746	-3693.26	-0.00210418	0.00180318	0.340053	2.77637
3.22581	-3608.36	-0.00119898	0.00174091	0.312471	2.64226
3.27869	-3533.08	0.00184689	0.0016469	0.29661	2.45619
3.33333	-3455.35	0.00117967	0.00139695	0.286028	2.05148
3.38983	-3370.18	0.000730687	0.00129857	0.294975	1.87631
3.44828	-3299.36	-0.00237486	0.00136364	0.263542	1.92972
3.50877	-3220.7	0.0199826	0.000426553	0.050101	0.0380529
3.57143	-3153.47	-0.000583846	0.00111201	0.236942	1.52521
3.63636	-3085.91	-0.00307948	0.0013044	0.223643	1.74491
3.7037	-3006.37	-0.00435873	0.00100943	0.213229	1.31034
3.77358	-2932.78	0.00141592	0.000994747	0.189813	1.28908
3.84615	-2867.75	-0.00066974	0.000976368	0.191614	1.24332
3.92157	-2787.4	0.00454098	0.000754941	0.174151	0.917533
4	-2729.12	0.000269701	0.000861811	0.176382	1.05563
4.08163	-2664.66	0.0020194	0.000862805	0.15856	1.0309
4.16667	-2598.05	-0.00872791	0.000675311	0.133545	0.704583
4.25532	-2534.1	0.000270484	0.000715376	0.146526	0.823671
4.34783	-2469.7	-0.000206092	0.000738375	0.137461	0.8321
4.44444	-2404.59	-0.00105289	0.000705878	0.12948	0.777008
4.54545	-2340.93	-0.000885784	0.000670891	0.124334	0.722375
4.65116	-2283.98	0.000591424	0.000663176	0.117021	0.698287
4.7619	-2216.68	0.000162602	0.000627119	0.109792	0.645278
4.87805	-2154.14	0.000250632	0.000595692	0.104315	0.598309
5	-2096.31	0.000444554	0.000571489	0.0978002	0.559865
5.12821	-2037.35	0.00162351	0.000591959	0.0896433	0.563098
5.26316	-1978.52	-0.000561211	0.000540799	0.0868139	0.50319
5.40541	-1921.41	-0.000853079	0.000518326	0.080142	0.469203
5.55556	-1864.4	-8.48761e-05	0.000514461	0.0753157	0.453748
5.71429	-1811.24	-0.00019148	0.000461053	0.0723717	0.395322
5.88235	-1742.52	-0.000762677	0.00046029	0.0662051	0.382937
6.06061	-1693.29	-0.000140247	0.000445179	0.062394	0.359911
6.25	-1636.96	-0.000554707	0.000446008	0.0580377	0.349429
6.45161	-1584	0.000359555	0.00042084	0.0525539	0.31953
6.66667	-1526.99	-0.000608396	0.000423387	0.0506388	0.310918
6.89655	-1471.13	0.00213643	0.00040574	0.0477381	0.285035
7.14286	-1417.95	-1.7777e-05	0.000394636	0.0435257	0.27072
7.40741	-1362.15	0.0007503	0.000394643	0.0400278	0.260684
7.69231	-1310.24	-0.000660269	0.000361282	0.0365223	0.229859
8	-1258.34	-0.000286026	0.000362099	0.0330982	0.221735
8.33333	-1203.11	0.00161494	0.000333255	0.0319047	0.194421
8.69565	-1151.82	-0.000129877	0.000355808	0.0285845	0.200488
9.09091	-1098.23	-0.000112885	0.000330394	0.0259912	0.178075
9.52381	-1048.87	4.5097e-05	0.000336719	0.0230677	0.173241
10	-995.662	-0.000162188	0.000316696	0.0208136	0.155168
10.5263	-946.681	-0.000242106	0.000304858	0.0192862	0.141884
11.1111	-890.404	-0.000256642	0.000319302	0.0173058	0.140783
11.7647	-834.019	-0.000220331	0.000286818	0.0142366	0.119439
12.5	-785.03	-0.0014939	0.000275792	0.0133812	0.107236
13.3333	-742.044	0.000354126	0.000277046	0.01157	0.101768
14.2857	-692.975	2.95066e-05	0.000270782	0.0100265	0.092878
15.3846	-640.608	-0.00107636	0.000292063	0.00874686	0.092653
16.6667	-593.344	-0.000185553	0.000270058	0.00746408	0.0793868
18.1818	-541.677	-6.19e-05	0.000254502	0.00607966	0.0685872
