1/beta	E	M	C	X
1	-4993.18	0.999307	0.998614	0.0206664	0.00137199
1.001	-4992.56	0.99924	0.998481	0.023049	0.00152829
1.002	-4992.15	0.999205	0.99841	0.0203961	0.00135968
1.00301	-4992.45	0.999226	0.998454	0.0262233	0.00181354
1.00402	-4991.96	0.999187	0.998375	0.0251893	0.0016491
1.00503	-4991.51	0.999125	0.998252	0.0268676	0.00190233
1.00604	-4991.89	0.999184	0.99837	0.0316713	0.00205786
1.00705	-4992.13	0.999189	0.99838	0.0264992	0.00180539
1.00806	-4992.53	0.999241	0.998484	0.0221443	0.00148402
1.00908	-4994.95	0.99949	0.99898	0.0188803	0.00125646
1.0101	-4992.52	0.999224	0.99845	0.0255829	0.00179728
1.01112	-4992.56	0.999245	0.998491	0.0211172	0.00141582
1.01215	-4993.74	0.99937	0.998741	0.0170804	0.00110859
1.01317	-4994.01	0.999392	0.998785	0.0167467	0.00111868
1.0142	-4991.71	0.999145	0.998291	0.0224445	0.00156834
1.01523	-4992.14	0.999192	0.998386	0.0264799	0.0018277
1.01626	-4991.27	0.999107	0.998216	0.0280978	0.00193003
1.01729	-4992.46	0.99921	0.998422	0.022457	0.00165884
1.01833	-4993.19	0.999308	0.998616	0.0201394	0.00136048
1.01937	-4993.01	0.999286	0.998574	0.0192864	0.00133069
1.02041	-4996.17	0.999617	0.999235	0.0151928	0.000968928
1.02145	-4990.82	0.999065	0.998133	0.0283236	0.00191045
1.02249	-4991.85	0.999178	0.998357	0.021898	0.00145884
1.02354	-4994.02	0.99939	0.998781	0.029563	0.0019575
1.02459	-4990.79	0.999055	0.998112	0.0295773	0.00205365
1.02564	-4992.5	0.99924	0.998481	0.025904	0.00173593
1.02669	-4995.27	0.99952	0.99904	0.0155005	0.00107224
1.02775	-4991.95	0.999126	0.998253	0.030271	0.00291372
1.02881	-4989.91	0.998971	0.997944	0.0330339	0.0022713
1.02987	-4991.09	0.99909	0.998181	0.0263917	0.0018486
1.03093	-4991.55	0.999144	0.998289	0.0324447	0.00213964
1.03199	-4989.46	0.998878	0.997759	0.0317117	0.00251803
1.03306	-4991.04	0.999089	0.998179	0.0253482	0.00173042
1.03413	-4992.43	0.999235	0.998471	0.0197724	0.00132711
1.0352	-4991.16	0.999089	0.99818	0.027279	0.00197027
1.03627	-4990.84	0.999061	0.998123	0.0296658	0.00210204
1.03734	-4990.11	0.998983	0.997967	0.0309355	0.00220562
1.03842	-4989.85	0.998963	0.997928	0.0301395	0.00207974
1.0395	-4990.73	0.999054	0.99811	0.0253938	0.00176298
1.04058	-4989.11	0.998886	0.997774	0.0350339	0.00247623
1.04167	-4989.36	0.998918	0.997839	0.0274968	0.00188991
1.04275	-4990.94	0.999076	0.998153	0.0270538	0.00188664
1.04384	-4989.93	0.998965	0.997932	0.0306874	0.00222259
1.04493	-4988.07	0.998773	0.997548	0.0350124	0.00249835
1.04603	-4990.9	0.999073	0.998147	0.0297619	0.00208326
1.04712	-4988.82	0.998859	0.997721	0.0340666	0.00238423
1.04822	-4989.44	0.998917	0.997836	0.0318387	0.00228353
1.04932	-4989.62	0.998937	0.997877	0.0322997	0.0023123
1.05042	-4989.91	0.998965	0.997932	0.0297458	0.00211417
1.05152	-4988.65	0.998846	0.997694	0.0295922	0.00204682
1.05263	-4992.52	0.999248	0.998497	0.0239474	0.00158932
1.05374	-4989.19	0.998899	0.9978	0.0313198	0.00220894
1.05485	-4988.82	0.998856	0.997713	0.0304127	0.00217014
1.05597	-4988.78	0.998847	0.997697	0.0335049	0.00243356
1.05708	-4988.91	0.998878	0.997758	0.0309119	0.00209071
1.0582	-4990.11	0.998991	0.997984	0.0255476	0.00179701
1.05932	-4990.49	0.999023	0.998048	0.0305291	0.00222084
1.06045	-4988.59	0.998834	0.99767	0.0320124	0.00229425
1.06157	-4988.79	0.998846	0.997694	0.04429	0.00320983
1.0627	-4988.56	0.998832	0.997667	0.0318228	0.00231247
1.06383	-4988.81	0.998848	0.997698	0.0328942	0.00242241
1.06496	-4989.81	0.998945	0.997893	0.0310523	0.00242867
1.0661	-4988.5	0.998824	0.997651	0.0340302	0.00244148
1.06724	-4988.08	0.998773	0.997548	0.0388014	0.00283376
1.06838	-4994.82	0.999472	0.998944	0.00556428	0.000414813
1.06952	-4988.01	0.998751	0.997505	0.0389216	0.00306451
1.07066	-4988.9	0.998846	0.997695	0.0254108	0.00188443
1.07181	-4989.31	0.998903	0.997808	0.0276462	0.00199133
1.07296	-4987.35	0.998707	0.997416	0.0337051	0.00244954
1.07411	-4988.36	0.998795	0.997592	0.0344603	0.00266205
1.07527	-4987.18	0.998688	0.99738	0.0352014	0.00255971
1.07643	-4987.73	0.998744	0.99749	0.0373303	0.00274239
1.07759	-4987.63	0.99874	0.997483	0.0325387	0.00232367
1.07875	-4991.38	0.999138	0.998278	0.0263565	0.001777
1.07991	-4986.47	0.998616	0.997235	0.0391174	0.00284434
1.08108	-4987.13	0.998684	0.997371	0.0318909	0.00232993
1.08225	-4985.79	0.998544	0.997091	0.037867	0.0027763
1.08342	-4986.43	0.998603	0.99721	0.0380975	0.00284078
1.0846	-4986.28	0.998589	0.997181	0.0384082	0.00287343
1.08578	-4984.79	0.998448	0.9969	0.0339216	0.00246684
1.08696	-4985.79	0.998543	0.997089	0.0387569	0.00285912
1.08814	-4985.08	0.998462	0.996927	0.0460451	0.00350191
1.08932	-4985.87	0.998556	0.997115	0.0356047	0.0026178
1.09051	-4986.43	0.9986	0.997203	0.0379373	0.00289598
1.0917	-4985.51	0.998513	0.997029	0.0407596	0.00307151
1.0929	-4984.78	0.998437	0.996877	0.0455742	0.00347279
1.09409	-4985.18	0.998469	0.996942	0.0419731	0.00319097
1.09529	-4985.29	0.998461	0.996925	0.0394642	0.00323388
1.09649	-4985.61	0.998517	0.997037	0.0403194	0.00305853
1.09769	-4986.6	0.99864	0.997283	0.0391341	0.00285072
1.0989	-4983.32	0.99827	0.996545	0.0430513	0.00324675
