1/beta	E	M	C	X
1	-19973.1	0.999314	0.998629	0.0172292	0.0011399
1.001	-19968.7	0.999192	0.998385	0.0255527	0.00178522
1.002	-19973.6	0.999333	0.998666	0.016451	0.0010453
1.00301	-19973.5	0.999326	0.998653	0.020525	0.00139025
1.00402	-19971.7	0.99928	0.998561	0.0227819	0.0015495
1.00503	-19965.4	0.999107	0.998215	0.027588	0.00189573
1.00604	-19971.8	0.99927	0.99854	0.0187062	0.00128084
1.00705	-19968.3	0.999195	0.998391	0.0204633	0.0013424
1.00806	-19972.6	0.999303	0.998607	0.0228479	0.00153779
1.00908	-19967.8	0.999176	0.998353	0.0228597	0.00158099
1.0101	-19967.5	0.999166	0.998333	0.0317081	0.00207093
1.01112	-19966.6	0.999135	0.998272	0.0258119	0.00181741
1.01215	-19968.7	0.9992	0.9984	0.0250406	0.0017006
1.01317	-19969.3	0.999219	0.998438	0.025843	0.00172193
1.0142	-19969.8	0.99923	0.998462	0.02684	0.00181059
1.01523	-19976	0.9994	0.9988	0	0
1.01626	-19968.1	0.999184	0.998369	0.027026	0.00185694
1.01729	-19966.2	0.999137	0.998276	0.0236533	0.00160015
1.01833	-19969	0.999209	0.998419	0.0228266	0.00158179
1.01937	-19972	0.9993	0.9986	0.0156589	0.000997637
1.02041	-19963.2	0.999056	0.998114	0.0227816	0.00157877
1.02145	-19964.8	0.999092	0.998185	0.0289765	0.00207069
1.02249	-19973.5	0.999337	0.998675	0.0265542	0.00169697
1.02354	-19966.7	0.999155	0.99831	0.0244523	0.00165174
1.02459	-19968.8	0.999202	0.998405	0.0237327	0.00165086
1.02564	-19962.8	0.999051	0.998103	0.0264188	0.0018266
1.02669	-19966.2	0.999141	0.998283	0.0229567	0.00155766
1.02775	-19966.8	0.99915	0.9983	0.0224568	0.001553
1.02881	-19962.3	0.999039	0.998079	0.0272781	0.00183954
1.02987	-19963.8	0.999076	0.998152	0.0294241	0.00202062
1.03093	-19965	0.999101	0.998204	0.0286044	0.00204473
1.03199	-19970.9	0.999259	0.998518	0.026288	0.00176786
1.03306	-19962.9	0.999044	0.998088	0.0221929	0.0015091
1.03413	-19963.6	0.999069	0.99814	0.0237246	0.00165605
1.0352	-19963.6	0.999071	0.998143	0.0227139	0.00155333
1.03627	-19971.6	0.999284	0.998568	0.00523748	0.000324565
1.03734	-19964	0.99907	0.998142	0.0285474	0.00197589
1.03842	-19958.9	0.998953	0.997907	0.0310316	0.00214841
