1/beta	E	M	C	X
1	-1.9998e+06	0.99995	0.9999	0	0
1.0101	-1.99924e+06	0.99981	0.99962	0.0250428	0.00162724
1.02041	-1.99732e+06	0.999318	0.998637	0.365226	0.0245536
1.03093	-1.99654e+06	0.99911	0.998221	0.00415994	0.000224907
1.04167	-1.99618e+06	0.999027	0.998054	0.0128444	0.000884468
1.05263	-1.99603e+06	0.998981	0.997962	0.00411296	0.000350419
1.06383	-1.99563e+06	0.998883	0.997767	0.0574106	0.00388911
1.07527	-1.99502e+06	0.998722	0.997446	0.0342476	0.00269839
1.08696	-1.9952e+06	0.998768	0.997537	0.00107045	8.24145e-05
1.0989	-1.99422e+06	0.99851	0.997022	0.072534	0.00577664
1.11111	-1.9938e+06	0.99841	0.996822	0.000142354	1.68307e-05
1.1236	-1.99308e+06	0.998213	0.99643	0.110728	0.00834334
1.13636	-1.99256e+06	0.998082	0.996169	0.01481	0.00123341
1.14943	-1.99165e+06	0.997836	0.995677	0.0303783	0.0024999
1.16279	-1.99108e+06	0.997692	0.995389	0.058081	0.00380757
1.17647	-1.99041e+06	0.997523	0.995052	0.00601237	0.000439356
1.19048	-1.98961e+06	0.9973	0.994608	0.044243	0.00339103
1.20482	-1.98831e+06	0.996958	0.993925	0.138326	0.0111683
1.21951	-1.98719e+06	0.996651	0.993313	0.0483131	0.00477665
1.23457	-1.98669e+06	0.996526	0.993064	0.0322132	0.00332088
1.25	-1.98649e+06	0.996465	0.992942	0.00262584	0.000188142
1.26582	-1.98383e+06	0.995751	0.99152	0.423751	0.0383151
1.28205	-1.98241e+06	0.99537	0.990761	0.1765	0.0192739
1.2987	-1.98037e+06	0.994808	0.989643	0.057749	0.00598589
1.31579	-1.97879e+06	0.994362	0.988756	0.125608	0.0129544
