1/beta	E	M	C	X
1.10742	-1794.45	0.998409	0.996824	0.0438485	0.00343261
1.10865	-1794.19	0.99836	0.996727	0.0459469	0.00332303
1.10988	-1793.88	0.998237	0.996482	0.0475921	0.00373984
1.11111	-1794.31	0.998378	0.996762	0.0423627	0.00322648
1.11235	-1793.65	0.998183	0.996375	0.044915	0.0035421
1.11359	-1793.96	0.998259	0.996524	0.0429369	0.00339136
1.11483	-1794.22	0.998377	0.996761	0.0375387	0.00272813
1.11607	-1794.83	0.99854	0.997086	0.0438054	0.00320804
1.11732	-1793.99	0.998294	0.996594	0.0454632	0.00342826
1.11857	-1793.24	0.998055	0.996119	0.0550377	0.0043009
1.11982	-1794.48	0.998435	0.996875	0.0394697	0.00293955
1.12108	-1793.36	0.998097	0.996203	0.049466	0.00382873
1.12233	-1793.14	0.998049	0.996107	0.0452857	0.00344302
1.1236	-1793.81	0.998196	0.996401	0.0446731	0.00370724
1.12486	-1795.07	0.998603	0.997209	0.0229274	0.00172635
1.12613	-1794.02	0.998272	0.99655	0.0399421	0.00318517
1.1274	-1793.07	0.997998	0.996006	0.0494669	0.00404565
1.12867	-1793.48	0.998136	0.996279	0.0452138	0.00351024
1.12994	-1794.26	0.998348	0.996704	0.045616	0.00362413
1.13122	-1794.6	0.998454	0.996915	0.0352927	0.00276941
1.1325	-1793.35	0.99809	0.996189	0.0465694	0.00379434
1.13379	-1792.76	0.997913	0.995836	0.0551542	0.00442199
1.13507	-1793.59	0.998164	0.996335	0.0450404	0.0035474
1.13636	-1792.82	0.997971	0.995951	0.0511964	0.00387862
1.13766	-1792.84	0.997948	0.995906	0.0468554	0.00369515
1.13895	-1792.97	0.997993	0.995996	0.050787	0.00402055
1.14025	-1792.45	0.997824	0.995658	0.0485793	0.00402144
1.14155	-1793.21	0.998046	0.9961	0.048814	0.00389524
1.14286	-1794.5	0.998437	0.99688	0.0372921	0.00286124
1.14416	-1792.62	0.997876	0.995763	0.0535807	0.00436892
1.14548	-1792.01	0.997669	0.99535	0.0637333	0.00548022
1.14679	-1792.81	0.997944	0.995897	0.0497581	0.00396153
1.14811	-1792.41	0.997831	0.995672	0.0520834	0.00410955
1.14943	-1791.95	0.997649	0.995309	0.0575389	0.0050289
1.15075	-1792.81	0.997917	0.995844	0.0516779	0.00426546
1.15207	-1792.09	0.997716	0.995443	0.0565072	0.00468648
1.1534	-1791.99	0.997692	0.995395	0.0562872	0.00463131
1.15473	-1791.95	0.997674	0.995361	0.0597055	0.00492402
1.15607	-1792.92	0.997978	0.995965	0.0527956	0.00418012
1.15741	-1791.6	0.997554	0.995121	0.0613583	0.00520322
1.15875	-1791.92	0.997674	0.995358	0.0508727	0.00422535
1.16009	-1792	0.997697	0.995404	0.0539168	0.00447778
1.16144	-1792	0.997724	0.995459	0.0571609	0.00451922
1.16279	-1791.57	0.997569	0.99515	0.0578476	0.00485764
1.16414	-1791.78	0.997632	0.995276	0.0583713	0.00483887
1.1655	-1792.12	0.997742	0.995494	0.0530897	0.00434713
1.16686	-1790.08	0.997155	0.994324	0.0675281	0.00553266
1.16822	-1791.35	0.997494	0.995	0.0595565	0.00501732
1.16959	-1791.97	0.997688	0.995387	0.0491893	0.00405055
1.17096	-1790.6	0.997287	0.994589	0.0609505	0.00506388
1.17233	-1791.44	0.997526	0.995064	0.0605568	0.00508157
1.17371	-1791.74	0.997626	0.995264	0.052603	0.00438456
1.17509	-1790.86	0.99735	0.994715	0.0622275	0.00536122
1.17647	-1790.74	0.997324	0.994663	0.0626868	0.0053421
1.17786	-1791.01	0.997409	0.994831	0.0615347	0.0051436
1.17925	-1791.06	0.997431	0.994875	0.0588882	0.00485848
1.18064	-1790.84	0.997365	0.994743	0.0593282	0.00493708
1.18203	-1792.26	0.997788	0.995586	0.045095	0.00359496
1.18343	-1790.71	0.997306	0.994627	0.0618764	0.00536958
1.18483	-1790.65	0.997292	0.994599	0.0630475	0.0053305
1.18624	-1790.27	0.997189	0.994393	0.0696224	0.00591125
